2022 PSSA Grades 3 through 8 - State Level Proficiency Results  by Grade*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2022,English Language Arts,IEP,Total,127236,3.5,16.5,42.6,37.4,20
2022,Math,All Students,3,114714,20.9,26.9,23.4,28.9,47.7
2022,Math,All Students,4,114822,17,25.3,26.8,30.9,42.3
2022,Math,All Students,5,116489,12.2,23.3,33.5,31.1,35.4
2022,Math,All Students,6,115844,13.3,18.9,28.8,38.9,32.3
2022,Math,All Students,7,118357,9.7,17.4,30,43,27
2022,Math,All Students,8,119039,6.8,15.7,27.1,50.3,22.6
2022,Math,All Students,Total,699265,13.2,21.2,28.3,37.3,34.4
2022,Math,Economically Disadvantaged,3,54991,8.6,20.3,26.4,44.7,28.9
2022,Math,Economically Disadvantaged,4,54583,6.5,17.3,29,47.1,23.8
2022,Math,Economically Disadvantaged,5,54422,4,14.1,34.7,47.1,18.1
2022,Math,Economically Disadvantaged,6,53466,4.5,11,27.7,56.8,15.5
2022,Math,Economically Disadvantaged,7,54111,3.1,9.5,26.7,60.7,12.6
2022,Math,Economically Disadvantaged,8,52855,2.3,7.8,21.3,68.7,10
2022,Math,Economically Disadvantaged,Total,324428,4.9,13.4,27.7,54.1,18.2
2022,Math,ELL,3,6434,5.6,15.7,23.7,55.1,21.3
2022,Math,ELL,4,6321,3.3,12.5,25.9,58.2,15.8
2022,Math,ELL,5,5678,1.7,7.5,29,61.8,9.1
2022,Math,ELL,6,5006,1.3,4.5,18.6,75.7,5.8
2022,Math,ELL,7,4769,1.1,3,16.3,79.7,4
2022,Math,ELL,8,4720,0.5,2.8,11.4,85.4,3.3
2022,Math,ELL,Total,32928,2.4,8.3,21.4,67.9,10.7
2022,Math,IEP,3,20309,7.9,14.8,22.1,55.1,22.8
2022,Math,IEP,4,21188,5.8,12.4,22.4,59.4,18.1
2022,Math,IEP,5,21734,3.3,8.6,26.3,61.9,11.8
2022,Math,IEP,6,21261,2.5,6.1,17.6,73.8,8.6
2022,Math,IEP,7,21292,1.7,4.1,16.3,77.9,5.8
2022,Math,IEP,8,21313,1.1,2.9,11,85,3.9
2022,Math,IEP,Total,127097,3.7,8.1,19.3,68.9,11.8
2022,Science,All Students,4,114497,37.2,36.5,18.3,8,73.7
2022,Science,All Students,8,118412,20.1,31,20.6,28.3,51.1
2022,Science,All Students,Total,232909,28.5,33.7,19.5,18.3,62.2
2022,Science,Economically Disadvantaged,4,54351,20.7,38.5,27.3,13.4,59.3
2022,Science,Economically Disadvantaged,8,52445,9.4,24.3,23.8,42.5,33.7
2022,Science,Economically Disadvantaged,Total,106796,15.2,31.5,25.6,27.7,46.7
2022,Science,ELL,4,6311,9.2,33,35.5,22.3,42.1
2022,Science,ELL,8,4695,1.2,10.2,21.7,66.9,11.4
2022,Science,ELL,Total,11006,5.8,23.2,29.6,41.3,29
2022,Science,IEP,4,21098,15.7,31.8,32.5,20,47.5
2022,Science,IEP,8,21165,5.1,13.6,20.2,61.1,18.7
2022,Science,IEP,Total,42263,10.4,22.7,26.3,40.6,33.1
