AUN,LEA Name,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)","Act 1 Earned Income
6131","Total Act 511 Flat
6140","Total Act 511 Proportional
6150","Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Cigarette Tax
6163","Sales and
Use Tax
6164",General Business Taxes 6165,"Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168"
103021453.0,Brentwood Borough SD,Allegheny,1585418.61,,13893.91,1571524.7,,,13893.91,,,,1414824.44,,156700.26,,,,,,0.0,,,,,,,,
103021603.0,Carlynton SD,Allegheny,2652387.06,,0.0,2652387.06,,,,,,,2396690.64,,255696.42,,,,,,0.0,,,,,,,,
103021752.0,Chartiers Valley SD,Allegheny,7698987.37,,71423.41,7627563.96,,,71423.41,,,,6121945.93,,906375.92,,,,599242.11,,0.0,,,,,,,,
103021903.0,Clairton City SD,Allegheny,0.0,,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,
103022103.0,Cornell SD,Allegheny,1011529.0,,21780.0,989749.0,,,21780.0,,,,834143.0,,155606.0,,,,,,0.0,,,,,,,,
103022253.0,Deer Lakes SD,Allegheny,2740976.7,,54904.65,2686072.05,33705.88,,21198.77,,,,2305448.81,,380623.24,,,,,,0.0,,,,,,,,
103022503.0,Duquesne City SD,Allegheny,356205.0,,5840.0,350365.0,,,5840.0,,,,322260.0,,28105.0,,,,,,0.0,,,,,,,,
103022803.0,East Allegheny SD,Allegheny,2224128.0,,21144.79,2202983.21,,,21144.79,,,,1592510.63,,176431.0,,171471.11,1593.45,260977.02,,0.0,,,,,,,,
103023153.0,Elizabeth Forward SD,Allegheny,2808085.06,,25018.3,2783066.76,,,25018.3,,,,2580361.03,,202705.73,,,,,,0.0,,,,,,,,
103023912.0,Fox Chapel Area SD,Allegheny,11250245.86,,96988.79,11153257.07,,,96988.79,,,,9952514.54,,1200742.53,,,,,,0.0,,,,,,,,
103024102.0,Gateway SD,Allegheny,7725368.46,,116236.99,7609131.47,,,116236.99,,,,4493215.21,,1034546.71,,,,2081369.55,,0.0,,,,,,,,
103024603.0,Hampton Township SD,Allegheny,5250617.73,,0.0,5250617.73,,,,,,,4673813.53,,576804.2,,,,,,0.0,,,,,,,,
103024753.0,Highlands SD,Allegheny,2681263.0,,75972.0,2605291.0,44254.0,,31718.0,,,,2350261.0,,255030.0,,,,,,0.0,,,,,,,,
103025002.0,Keystone Oaks SD,Allegheny,4744056.0,,53296.0,4690760.0,,,53296.0,,,,3872561.0,,818199.0,,,,,,0.0,,,,,,,,
103026002.0,McKeesport Area SD,Allegheny,3425139.0,,46754.0,3378385.0,,,46754.0,,,,2574331.0,,240873.0,,407876.0,,155305.0,,0.0,,,,,,,,
103026303.0,Montour SD,Allegheny,7551101.47,,0.0,7551101.47,,,,,,,6206670.44,,1344431.03,,,,,,0.0,,,,,,,,
103026343.0,Moon Area SD,Allegheny,7567931.72,,93276.95,7474654.77,,,93276.95,,,,6095500.87,,1288594.39,90559.51,,,,,0.0,,,,,,,,
103026402.0,Mt Lebanon SD,Allegheny,10492867.72,,46019.97,10446847.75,,,46019.97,,,,9352513.44,,1094334.31,,,,,,0.0,,,,,,,,
103026852.0,North Allegheny SD,Allegheny,19119936.47,,181000.99,18938935.48,181000.99,,,,,,16939709.51,,1999225.97,,,,,,0.0,,,,,,,,
103026902.0,North Hills SD,Allegheny,10158191.15,,76954.15,10081237.0,,,76954.15,,,,7670107.62,,1107429.48,,494511.15,,809188.75,,0.0,,,,,,,,
103026873.0,Northgate SD,Allegheny,2320608.72,,12353.27,2308255.45,,,12353.27,,,,2060726.36,,247529.09,,,,,,0.0,,,,,,,,
103027352.0,Penn Hills SD,Allegheny,6573008.24,,41872.87,6531135.37,,,41872.87,,,,5089835.89,,680815.2,,387612.74,,372871.54,,0.0,,,,,,,,
103021003.0,Pine-Richland SD,Allegheny,11185273.0,,82148.0,11103125.0,82148.0,,,,,,9554165.0,,1548960.0,,,,,,0.0,,,,,,,,
102027451.0,Pittsburgh SD,Allegheny,177944508.3,,0.0,0.0,,,,,,,,,,,,,,,177944508.3,156840721.94,,,,,,,21103786.36
103027503.0,Plum Borough SD,Allegheny,5194542.22,,124108.28,5070433.94,88052.16,,36056.12,,,,4598483.68,,471950.26,,,,,,0.0,,,,,,,,
103027753.0,Quaker Valley SD,Allegheny,6985852.49,,37362.74,6948489.75,37362.74,,,,,,5956641.26,,991848.49,,,,,,0.0,,,,,,,,
103028203.0,Riverview SD,Allegheny,1778781.51,,21240.93,1757540.58,,,21240.93,,,,1411647.63,,345892.95,,,,,,0.0,,,,,,,,
103028302.0,Shaler Area SD,Allegheny,7643451.95,,31795.46,7611656.49,,,31795.46,,,,6806398.44,,805258.05,,,,,,0.0,,,,,,,,
103028653.0,South Allegheny SD,Allegheny,1414887.18,,0.0,1414887.18,,,,,,,1298631.69,,116255.49,,,,,,0.0,,,,,,,,
103028703.0,South Fayette Township SD,Allegheny,5360520.37,,82847.27,5277673.1,48358.0,,34489.27,,,,4611433.09,,666240.01,,,,,,0.0,,,,,,,,
103028753.0,South Park SD,Allegheny,3007733.59,,52255.88,2955477.71,36465.7,,15790.18,,,,2513407.3,,428020.06,14050.35,,,,,0.0,,,,,,,,
103028833.0,Steel Valley SD,Allegheny,2316515.37,,34347.4,2282167.97,,,34347.4,,,,1977690.17,,263497.11,40980.69,,,,,0.0,,,,,,,,
103028853.0,Sto-Rox SD,Allegheny,1445229.07,,14919.79,1430309.28,,,14919.79,,,,1107955.99,,231226.37,,,,91126.92,,0.0,,,,,,,,
103029203.0,Upper St. Clair SD,Allegheny,8636870.05,,0.0,8636870.05,,,,,,,7425906.97,,783060.74,,,,427902.34,,0.0,,,,,,,,
103029403.0,West Allegheny SD,Allegheny,7354489.6,,1585088.85,5769400.75,,,121374.07,,,1463714.78,4923580.11,,845820.64,,,,,,0.0,,,,,,,,
103029553.0,West Jefferson Hills SD,Allegheny,6455296.26,,48602.22,6406694.04,,,48602.22,,,,3967488.19,,433891.92,,1586969.53,,418344.4,,0.0,,,,,,,,
103029603.0,West Mifflin Area SD,Allegheny,4398303.15,,50405.29,4347897.86,,,50405.29,,,,2690005.13,,409983.27,263684.14,561511.84,,422713.48,,0.0,,,,,,,,
103029803.0,Wilkinsburg Borough SD,Allegheny,2094611.91,,17913.47,2076698.44,,,17913.47,,,,1864227.55,,212470.89,,,,,,0.0,,,,,,,,
103029902.0,Woodland Hills SD,Allegheny,6899107.55,,0.0,6899107.55,,,,,,,5932671.58,,966435.97,,,,,,0.0,,,,,,,,
128030603.0,Apollo-Ridge SD,Armstrong,1156347.76,,27078.71,1129269.05,16193.19,,10885.52,,,,1037631.39,,91637.66,,,,,,0.0,,,,,,,,
128030852.0,Armstrong SD,Armstrong,5194409.0,,0.0,5194409.0,,,,,,,4731502.0,,462907.0,,,,,,0.0,,,,,,,,
128033053.0,Freeport Area SD,Armstrong,2397627.27,,19540.99,2378086.28,,,19540.99,,,,2140375.88,,237710.4,,,,,,0.0,,,,,,,,
128034503.0,Leechburg Area SD,Armstrong,775076.24,,4245.46,770830.78,,,4245.46,,,,705057.9,,65772.88,,,,,,0.0,,,,,,,,
127040503.0,Aliquippa SD,Beaver,1153183.56,,32715.48,1120468.08,,,32715.48,,,,970006.38,,133687.87,,,,16773.83,,0.0,,,,,,,,
127040703.0,Ambridge Area SD,Beaver,4059639.81,,28461.79,4031178.02,,,28461.79,,,,3351893.58,,442928.69,,,,236355.75,,0.0,,,,,,,,
127041203.0,Beaver Area SD,Beaver,3100396.78,,75151.47,3025245.31,37939.29,,37212.18,,,,2595042.34,,430202.97,,,,,,0.0,,,,,,,,
127041503.0,Big Beaver Falls Area SD,Beaver,1465874.49,,43121.13,1422753.36,17069.72,,22295.59,,3755.82,,1150757.46,,171767.35,,,,100228.55,,0.0,,,,,,,,
127041603.0,Blackhawk SD,Beaver,3415202.98,,90236.91,3324966.07,34692.07,,44728.4,,10816.44,,2873151.91,,425711.91,26102.25,,,,,0.0,,,,,,,,
127042003.0,Central Valley SD,Beaver,3558074.67,,55518.97,3502555.7,,,55518.97,,,,2795994.67,,366469.6,,,,340091.43,,0.0,,,,,,,,
127042853.0,Freedom Area SD,Beaver,1595411.41,,12506.56,1582904.85,,,12506.56,,,,1444251.69,,138653.16,,,,,,0.0,,,,,,,,
127044103.0,Hopewell Area SD,Beaver,3361729.71,,21418.67,3340311.04,,,21418.67,,,,2880738.64,,346075.32,,,,113497.08,,0.0,,,,,,,,
127045303.0,Midland Borough SD,Beaver,260522.06,,6329.06,254193.0,,,6329.06,,,,216602.67,,37590.33,,,,,,0.0,,,,,,,,
127045653.0,New Brighton Area SD,Beaver,1451010.56,,31110.72,1419899.84,18690.23,,12420.49,,,,1154732.51,,129351.24,,135816.09,,,,0.0,,,,,,,,
127045853.0,Riverside Beaver County SD,Beaver,1706312.92,,33716.0,1672596.92,33716.0,,,,,,1501554.03,,171042.89,,,,,,0.0,,,,,,,,
127046903.0,Rochester Area SD,Beaver,978842.77,,42024.58,936818.19,17874.3,13114.52,11035.76,,,,710572.13,,85288.83,,21675.12,,119282.11,,0.0,,,,,,,,
127047404.0,South Side Area SD,Beaver,1225446.85,,13331.93,1212114.92,,,13331.93,,,,1001408.6,,184771.11,,25935.21,,,,0.0,,,,,,,,
127049303.0,Western Beaver County SD,Beaver,822610.36,,0.0,822610.36,,,,,,,742531.91,,80078.45,,,,,,0.0,,,,,,,,
108051003.0,Bedford Area SD,Bedford,4504228.94,2117186.22,150654.2,2236388.52,41587.4,,109066.8,,,,1915729.62,,320658.9,,,,,,0.0,,,,,,,,
108051503.0,Chestnut Ridge SD,Bedford,1374024.11,,29864.4,1344159.71,29864.4,,,,,,1191915.92,,152243.79,,,,,,0.0,,,,,,,,
108053003.0,Everett Area SD,Bedford,2351330.4,1156273.14,55927.93,1139129.33,23262.3,,32665.63,,,,989531.79,,149597.54,,,,,,0.0,,,,,,,,
108056004.0,Northern Bedford County SD,Bedford,926879.77,,61150.74,865729.03,14758.95,29090.0,17301.79,,,,784811.51,,74192.27,6725.25,,,,,0.0,,,,,,,,
108058003.0,Tussey Mountain SD,Bedford,863686.05,,26128.02,837558.03,15782.65,,10345.37,,,,749959.27,,87598.76,,,,,,0.0,,,,,,,,
114060503.0,Antietam SD,Berks,1332230.42,,0.0,1332230.42,,,,,,,1153782.15,,178448.27,,,,,,0.0,,,,,,,,
114060753.0,Boyertown Area SD,Berks,9451474.31,,197382.4,9254091.91,127028.64,,70353.76,,,,7873843.96,,1380247.95,,,,,,0.0,,,,,,,,
114060853.0,Brandywine Heights Area SD,Berks,2275568.01,,53181.28,2222386.73,32127.55,,21053.73,,,,2026762.12,,195624.61,,,,,,0.0,,,,,,,,
114061103.0,Conrad Weiser Area SD,Berks,3602512.07,,58876.2,3543635.87,58876.2,,,,,,3098132.73,,445503.14,,,,,,0.0,,,,,,,,
114061503.0,Daniel Boone Area SD,Berks,4598475.77,,59095.0,4539380.77,59095.0,,,,,,3970638.68,,568742.09,,,,,,0.0,,,,,,,,
114062003.0,Exeter Township SD,Berks,5960173.33,,146030.25,5814143.08,61201.95,,84828.3,,,,4401266.75,,651276.11,,751238.73,,10361.49,,0.0,,,,,,,,
114062503.0,Fleetwood Area SD,Berks,3250783.9,,57515.55,3193268.35,,,57515.55,,,,2809089.21,,351396.66,32782.48,,,,,0.0,,,,,,,,
114063003.0,Governor Mifflin SD,Berks,6575686.53,,204705.48,6370981.05,86721.9,63460.31,54523.27,,,,5555492.8,,815488.25,,,,,,0.0,,,,,,,,
114063503.0,Hamburg Area SD,Berks,3396539.98,,0.0,3396539.98,,,,,,,2672582.78,,723957.2,,,,,,0.0,,,,,,,,
114064003.0,Kutztown Area SD,Berks,2510219.97,,70567.83,2439652.14,33336.6,,37231.23,,,,2083554.78,,299655.98,56441.38,,,,,0.0,,,,,,,,
114065503.0,Muhlenberg SD,Berks,5917459.04,,83031.9,5834427.14,,,83031.9,,,,3862043.31,,753101.1,,,,1219282.73,,0.0,,,,,,,,
114066503.0,Oley Valley SD,Berks,2677358.66,,41775.89,2635582.77,41775.89,,,,,,2318653.15,,316929.62,,,,,,0.0,,,,,,,,
114067002.0,Reading SD,Berks,23208609.32,13871129.66,1345609.39,7991870.27,,,121649.74,1223959.65,,,6935564.81,,1056305.46,,,,,,0.0,,,,,,,,
114067503.0,Schuylkill Valley SD,Berks,3256285.3,,0.0,3256285.3,,,,,,,2619566.92,,636718.38,,,,,,0.0,,,,,,,,
114068003.0,Tulpehocken Area SD,Berks,2514687.68,,35613.45,2479074.23,35613.45,,,,,,1979664.45,,499409.78,,,,,,0.0,,,,,,,,
114068103.0,Twin Valley SD,Berks,5264709.84,,0.0,5264709.84,,,,,,,4505888.56,,758821.28,,,,,,0.0,,,,,,,,
114069103.0,Wilson SD,Berks,12628881.61,,240312.49,12388569.12,122916.61,,117395.88,,,,7680894.75,,1566274.07,,3141400.3,,,,0.0,,,,,,,,
114069353.0,Wyomissing Area SD,Berks,4345086.14,,101775.44,4243310.7,32616.13,,69159.31,,,,3045715.05,,587164.14,,610431.51,,,,0.0,,,,,,,,
108070502.0,Altoona Area SD,Blair,10297128.32,,341276.25,9955852.07,106619.66,94680.44,139976.15,,,,6019200.89,,788047.91,40006.27,2078466.62,,1030130.38,,0.0,,,,,,,,
108071003.0,Bellwood-Antis SD,Blair,1219173.75,,50660.54,1168513.21,14330.3,18295.5,17364.74,,670.0,,1054166.38,,114346.83,,,,,,0.0,,,,,,,,
108071504.0,Claysburg-Kimmel SD,Blair,1057206.73,,34381.93,1022824.8,15328.7,,19053.23,,,,578065.14,,444759.66,,,,,,0.0,,,,,,,,
108073503.0,Hollidaysburg Area SD,Blair,4773954.06,,195100.44,4578853.62,74059.8,121040.64,,,,,3950904.12,,627949.5,,,,,,0.0,,,,,,,,
108077503.0,Spring Cove SD,Blair,1501795.43,,104907.73,1396887.7,24549.9,40378.0,39979.83,,,,1396887.7,,,,,,,,0.0,,,,,,,,
108078003.0,Tyrone Area SD,Blair,1894987.62,,0.0,1894987.62,,,,,,,1894987.62,,,,,,,,0.0,,,,,,,,
108079004.0,Williamsburg Community SD,Blair,466677.44,,13181.21,453496.23,7362.6,,5818.61,,,,414868.46,,38627.77,,,,,,0.0,,,,,,,,
117080503.0,Athens Area SD,Bradford,3277490.27,,0.0,3277490.27,,,,,,,2998610.0,,278880.27,,,,,,0.0,,,,,,,,
117081003.0,Canton Area SD,Bradford,798807.48,,10362.5,788444.98,10362.5,,,,,,633355.77,21758.55,133330.66,,,,,,0.0,,,,,,,,
117083004.0,Northeast Bradford SD,Bradford,868729.64,,12444.38,856285.26,12444.38,,,,,,527729.59,240354.06,88201.61,,,,,,0.0,,,,,,,,
117086003.0,Sayre Area SD,Bradford,1969420.95,,0.0,1969420.95,,,,,,,1845697.59,,123723.36,,,,,,0.0,,,,,,,,
117086503.0,Towanda Area SD,Bradford,1928483.34,,0.0,1928483.34,,,,,,,1720874.36,,207608.98,,,,,,0.0,,,,,,,,
117086653.0,Troy Area SD,Bradford,1614055.84,,26282.04,1587773.8,26282.04,,,,,,997362.56,376624.12,213787.12,,,,,,0.0,,,,,,,,
117089003.0,Wyalusing Area SD,Bradford,1988354.04,,19808.67,1968545.37,19808.67,,,,,,1827619.17,,140926.2,,,,,,0.0,,,,,,,,
122091002.0,Bensalem Township SD,Bucks,8036659.35,,144453.88,7892205.47,,,139258.88,,5195.0,,,,2249671.28,,5642534.19,,,,0.0,,,,,,,,
122091303.0,Bristol Borough SD,Bucks,379967.77,,16871.63,363096.14,,,16871.63,,,,,,363096.14,,,,,,0.0,,,,,,,,
122091352.0,Bristol Township SD,Bucks,2571362.57,,192687.38,2378675.19,95000.0,,97687.38,,,,,,1771377.19,,,,607298.0,,0.0,,,,,,,,
122092002.0,Centennial SD,Bucks,11430404.92,,124627.53,11305777.39,,,124627.53,,,,7625081.54,,1493599.11,,1176595.44,,1010501.3,,0.0,,,,,,,,
122092102.0,Central Bucks SD,Bucks,37447843.35,,0.0,37447843.35,,,,,,,31677451.86,,5770391.49,,,,,,0.0,,,,,,,,
122092353.0,Council Rock SD,Bucks,30510457.6,,148295.01,30362162.59,,,148295.01,,,,22315839.16,4346831.19,3699492.24,,,,,,0.0,,,,,,,,
122097203.0,Morrisville Borough SD,Bucks,223338.0,,0.0,223338.0,,,,,,,,,223338.0,,,,,,0.0,,,,,,,,
122097502.0,Neshaminy SD,Bucks,5878015.78,185895.8,179082.49,5513037.49,,,179082.49,,,,,,2080426.23,552796.67,1509813.22,1370001.37,,,0.0,,,,,,,,
122097604.0,New Hope-Solebury SD,Bucks,8254239.31,,0.0,8254239.31,,,,,,,7048351.67,,1205887.64,,,,,,0.0,,,,,,,,
122098003.0,Palisades SD,Bucks,3917038.03,,0.0,3917038.03,,,,,,,3166110.47,,750927.56,,,,,,0.0,,,,,,,,
122098103.0,Pennridge SD,Bucks,23090236.0,,98663.0,22991573.0,,,98663.0,,,,21170300.0,,1821273.0,,,,,,0.0,,,,,,,,
122098202.0,Pennsbury SD,Bucks,4552610.7,,0.0,4552610.7,,,,,,,,,4552610.7,,,,,,0.0,,,,,,,,
122098403.0,Quakertown Community SD,Bucks,14960175.59,,0.0,14960175.59,,,,,,,13396432.74,,1563742.85,,,,,,0.0,,,,,,,,
104101252.0,Butler Area SD,Butler,8473905.6,,258432.51,8215473.09,142742.93,,115689.58,,,,7172170.59,,1043302.5,,,,,,0.0,,,,,,,,
104103603.0,Karns City Area SD,Butler,1438626.0,,13713.0,1424913.0,,,13713.0,,,,1235349.0,,189564.0,,,,,,0.0,,,,,,,,
104107803.0,Knoch SD,Butler,3285857.59,,90670.45,3195187.14,53791.8,,36878.65,,,,2769370.57,,425816.57,,,,,,0.0,,,,,,,,
104105003.0,Mars Area SD,Butler,8712005.74,,76480.99,8635524.75,,,76480.99,,,,7123864.38,,1511660.37,,,,,,0.0,,,,,,,,
104105353.0,Moniteau SD,Butler,1320323.66,,52363.06,1267960.6,25785.95,,26577.11,,,,1144792.0,,123168.6,,,,,,0.0,,,,,,,,
104107903.0,Seneca Valley SD,Butler,17306223.45,,195849.39,17110374.06,,,,,,195849.39,13821669.27,,3288704.79,,,,,,0.0,,,,,,,,
104107503.0,Slippery Rock Area SD,Butler,2963090.0,,43225.0,2919865.0,43225.0,,,,,,2328831.0,,591034.0,,,,,,0.0,,,,,,,,
108110603.0,Blacklick Valley SD,Cambria,550405.05,,18829.55,531575.5,8620.95,,10208.6,,,,495289.92,,36285.58,,,,,,0.0,,,,,,,,
108111203.0,Cambria Heights SD,Cambria,1228351.1,,25264.55,1203086.55,25264.55,,,,,,1128284.84,,74801.71,,,,,,0.0,,,,,,,,
108111303.0,Central Cambria SD,Cambria,1837683.06,,33057.95,1804625.11,,,33057.95,,,,1621987.28,,182637.83,,,,,,0.0,,,,,,,,
108111403.0,Conemaugh Valley SD,Cambria,774591.28,,5029.48,769561.8,,,5029.48,,,,717102.64,,52459.16,,,,,,0.0,,,,,,,,
108112003.0,Ferndale Area SD,Cambria,466643.39,,9459.9,457183.49,9459.9,,,,,,426981.57,,30201.92,,,,,,0.0,,,,,,,,
108112203.0,Forest Hills SD,Cambria,1661151.59,,35480.84,1625670.75,17680.74,17800.1,,,,,1537294.24,,88376.51,,,,,,0.0,,,,,,,,
108112502.0,Greater Johnstown SD,Cambria,3584947.06,,919274.43,2665672.63,35943.48,28526.5,72774.67,782029.78,,,1688970.03,,194672.99,,,,782029.61,,0.0,,,,,,,,
108114503.0,Northern Cambria SD,Cambria,860214.6,,24461.78,835752.82,17095.1,,7366.68,,,,793946.33,,41806.49,,,,,,0.0,,,,,,,,
108116003.0,Penn Cambria SD,Cambria,1745022.26,,73128.26,1671894.0,32488.35,21217.6,19422.31,,,,1565143.41,,106750.59,,,,,,0.0,,,,,,,,
108116303.0,Portage Area SD,Cambria,704055.82,,24412.62,679643.2,8429.54,6909.75,9073.33,,,,644728.41,,34914.79,,,,,,0.0,,,,,,,,
108116503.0,Richland SD,Cambria,2824757.2,,88403.99,2736353.21,19937.9,,68466.09,,,,1908882.93,,282088.15,,,,545382.13,,0.0,,,,,,,,
108118503.0,Westmont Hilltop SD,Cambria,1896341.78,,27937.77,1868404.01,27937.77,,,,,,1659662.48,,208741.53,,,,,,0.0,,,,,,,,
109122703.0,Cameron County SD,Cameron,541821.0,,10080.0,531741.0,10080.0,,,,,,378397.0,,153344.0,,,,,,0.0,,,,,,,,
121135003.0,Jim Thorpe Area SD,Carbon,3242959.93,,59448.11,3183511.82,27785.2,,31338.91,,324.0,,1983001.98,,1026403.55,174106.29,,,,,0.0,,,,,,,,
121135503.0,Lehighton Area SD,Carbon,3384501.52,,46145.8,3338355.72,46145.8,,,,,,2236495.88,789434.6,312425.24,,,,,,0.0,,,,,,,,
121136503.0,Palmerton Area SD,Carbon,2312501.4,,55931.34,2256570.06,34679.3,,21252.04,,,,1996046.25,,260523.81,,,,,,0.0,,,,,,,,
121136603.0,Panther Valley SD,Carbon,1815642.77,,34000.03,1781642.74,22406.1,,11593.93,,,,1244762.82,344117.5,192762.42,,,,,,0.0,,,,,,,,
121139004.0,Weatherly Area SD,Carbon,892954.48,,12317.09,880637.39,12317.09,,,,,,586170.65,,279998.75,14467.99,,,,,0.0,,,,,,,,
110141003.0,Bald Eagle Area SD,Centre,6649788.41,3230075.6,60399.3,3359313.51,34998.4,,25400.9,,,,3128054.63,,231258.88,,,,,,0.0,,,,,,,,
110141103.0,Bellefonte Area SD,Centre,8211923.48,,68280.89,8143642.59,,,68280.89,,,,7369536.88,,774105.71,,,,,,0.0,,,,,,,,
110147003.0,Penns Valley Area SD,Centre,4177768.37,,0.0,4177768.37,,,,,,,3899583.53,,278184.84,,,,,,0.0,,,,,,,,
110148002.0,State College Area SD,Centre,25183768.17,,379884.54,24803883.63,,,379884.54,,,,21638562.18,,3165321.45,,,,,,0.0,,,,,,,,
124150503.0,Avon Grove SD,Chester,1049653.27,,0.0,1049653.27,,,,,,,,,1049653.27,,,,,,0.0,,,,,,,,
124151902.0,Coatesville Area SD,Chester,13221393.17,,83228.24,13138164.93,,,83228.24,,,,10790276.2,,2347888.73,,,,,,0.0,,,,,,,,
124152003.0,Downingtown Area SD,Chester,26084568.01,,242944.06,25841623.95,,,242944.06,,,,22080903.35,,3760720.6,,,,,,0.0,,,,,,,,
124153503.0,Great Valley SD,Chester,2939042.73,,0.0,2939042.73,,,,,,,,,2939042.73,,,,,,0.0,,,,,,,,
124154003.0,Kennett Consolidated SD,Chester,7274410.37,,0.0,7274410.37,,,,,,,5982036.16,,1292374.21,,,,,,0.0,,,,,,,,
124156503.0,Octorara Area SD,Chester,3736359.2,,0.0,3736359.2,,,,,,,3172129.91,,564229.29,,,,,,0.0,,,,,,,,
124156603.0,Owen J Roberts SD,Chester,11135063.6,,0.0,11135063.6,,,,,,,9014510.23,,1711046.96,,,,409506.41,,0.0,,,,,,,,
124156703.0,Oxford Area SD,Chester,4095045.17,,0.0,4095045.17,,,,,,,3428235.75,,666809.42,,,,,,0.0,,,,,,,,
124157203.0,Phoenixville Area SD,Chester,12795776.29,,167721.21,12628055.08,167721.21,,,,,,9156760.91,1684320.11,1786974.06,,,,,,0.0,,,,,,,,
124157802.0,Tredyffrin-Easttown SD,Chester,3582047.58,,0.0,3582047.58,,,,,,,,,3582047.58,,,,,,0.0,,,,,,,,
124158503.0,Unionville-Chadds Ford SD,Chester,1672099.03,,0.0,1672099.03,,,,,,,,,1672099.03,,,,,,0.0,,,,,,,,
124159002.0,West Chester Area SD,Chester,33796490.13,,0.0,33796490.13,,,,,,,27623001.27,,6173488.86,,,,,,0.0,,,,,,,,
106160303.0,Allegheny-Clarion Valley SD,Clarion,708750.65,,14060.3,694690.35,14060.3,,,,,,582015.19,,112675.16,,,,,,0.0,,,,,,,,
106161203.0,Clarion Area SD,Clarion,1093081.63,,43611.23,1049470.4,12618.4,,30992.83,,,,828219.67,113789.25,107461.48,,,,,,0.0,,,,,,,,
106161703.0,Clarion-Limestone Area SD,Clarion,1024260.01,,41281.18,982978.83,15492.35,,25788.83,,,,896533.16,,86445.67,,,,,,0.0,,,,,,,,
106166503.0,Keystone SD,Clarion,1117515.58,,17262.9,1100252.68,17262.9,,,,,,849344.88,166631.25,84276.55,,,,,,0.0,,,,,,,,
106167504.0,North Clarion County SD,Clarion,667288.89,,11436.6,655852.29,11436.6,,,,,,517319.85,65607.48,72924.96,,,,,,0.0,,,,,,,,
106168003.0,Redbank Valley SD,Clarion,987147.8,,59610.39,927537.41,37180.69,22429.7,,,,,857170.03,,70367.38,,,,,,0.0,,,,,,,,
106169003.0,Union SD,Clarion,551361.85,,14628.62,536733.23,9031.65,,5596.97,,,,413595.61,84270.6,38867.02,,,,,,0.0,,,,,,,,
110171003.0,Clearfield Area SD,Clearfield,2214819.23,,45973.94,2168845.29,,,45973.94,,,,1926060.26,,242785.03,,,,,,0.0,,,,,,,,
