Cat,AUN,LEA Name,County,Revenue from Federal Sources 8000,"Payments for Federally Impacted Areas
P.L. 81-874
8110",Other Unrestricted Federal Grants-in-Aid Direct From the Federal Government 8190,Unrestricted Grants-in-Aid From the Federal Government Through the Commonwealth of PA 8200,"Payments for Federally Impacted Areas P.L. 81-815
8310","Energy Conservation Grants - TA and ECM
8320",Other Restricted Federal Grants-in-Aid Directly From the Federal Government 8390,"Grants for IDEA and NCLB Programs Not Specified in the Following 8510 Series
8511","IDEA, Part B 8512","IDEA, Section 619
8513","NCLB, Title I - Improving the Academic Achievement of the Disadvantaged 8514","NCLB, Title II - Preparing, Training and Recruiting High Quality Teachers and Principals 8515","NCLB, Title III - Language Instruction for English Learners and Immigrant Students 8516","NCLB, Title IV - 21st Century Schools 8517","NCLB, Title V - Flexibility and Accountability 8519",Vocational Education - Operating Expenditures 8521,Child Nutrition Program 8530,Nutrition Education and Training 8540,Federal Block Grants 8560,Child Care and Development Block Grants 8580,Adult Basic Education 8620,Economic Opportunity Act (Headstart) 8640,Workforce Investment Act (WIA) 8660,Other Restricted Federal Grants-in-Aid Through the Commonwealth of PA 8690,ARRA - Build America Bonds 8731,ARRA - Qualified School Construction Bonds (QSCB) 8732,ARRA - Qualified Zone Academy Bonds (QZAB) 8733,ARRA - Qualified Energy Conservation Bonds (QECB) 8735,ESSER - Elementary and Secondary School Emergency Relief Fund 8741,Governor's Emergency Education Relief Fund (GEER) 8742,ESSER II - Elementary and Secondary School Emergency Relief Fund 8743,ARP ESSER(ESSER III) - Elementary and Secondary School Emergency Relief Fund 8744,GEER II - Governor's Emergency Education Relief Fund 8745,ARP IDEA 8746,ARP ECF - Emergency Connectivity Fund 8747,ARP IDEA Preschool 8748,"Other CARES and CRRSA Act, and ARP ACT Funding 8749",ARP ESSER Learning Loss 8751,ARP ESSER Summer Programs 8752,ARP ESSER Afterschool Programs 8753,ARP ESSER Homeless Children and Youth Funds (ARP-HCY) 8754,ARP ESSER Emergency Relief for Other Educational Entities 8755,School Based Access Medicaid Reimbursement Program (SBAP) Reimbursements (ACCESS) 8810,Medical Assistance Reimbursements for Administrative Claiming (Quarterly) Program 8820,Medical Assistance Reimbursement (ACCESS) - Early Intervention 8830
3.0,108110307.0,Admiral Peary AVTS,Cambria,582513.5,,,,,,,,,,,,,,,128284.5,,,,,,,,,,,,,,,,,,,,,,,,,454229.0,,,,
3.0,108112607.0,Greater Johnstown CTC,Cambria,544205.96,,,,,,,,,,,,,,,120936.96,,,,,,,,,,,,,,,,,,,,,111982.0,,,,,311287.0,,,
3.0,121131507.0,Carbon Career & Technical Institute,Carbon,553460.0,,,,,,,,,,,,,,,156039.0,,,,,51092.0,,,,,,,,,,,,,,,,54565.0,,,,,291764.0,,,
3.0,110141607.0,Central PA Institute of Science & Technology,Centre,977101.65,,,,,,,,,,,,,,,253059.0,,,,,,,,3513.29,,,,,,,,,,,,,589131.24,,,,,131398.12,,,
3.0,124151607.0,Chester County Technical College HS,Chester,1792818.51,,,,,,,,,,,,,,,,,,,,,,,1068249.0,,,,,,18.66,,,93473.06,,,,187051.32,,,,,444026.47,,,
3.0,106161357.0,Clarion County Career Center,Clarion,342506.93,,,,,,,,,,,,,,,104369.0,,,,,,,,,,,,,,,,,,,,,12518.93,,,,,225619.0,,,
3.0,110171607.0,Clearfield County CTC,Clearfield,567021.88,,,,,,,,,,,,,,,140654.0,,,,,,,132970.0,,,,,,,,,,,,,,262076.0,,,,,31321.88,,,
3.0,116191757.0,Columbia-Montour AVTS,Columbia,297488.0,,,,,,,,,,,,,,,193204.0,,,,,,,,,,,,,,,,,,,,,,,,,208.0,104076.0,,,
3.0,105201407.0,Crawford County CTC,Crawford,497906.27,,88153.0,57688.0,,,,,,,,,,,,176266.0,,,,,,,,,,,,,,,,,,,,,41825.43,,,,,133973.84,,,
3.0,115211657.0,Cumberland Perry Area Career & Technical Center,Cumberland,1042642.52,,,,,,,,,,,,,,,528891.0,,,,,,,,,,,,,,,,,41263.63,,,,69252.47,,,,,403235.42,,,
3.0,115221607.0,Dauphin County Technical School,Dauphin,1209651.09,,,,,,,,,,,,694.74,,,726943.63,,,,,,,,,,,,,,,,,,,,,53724.0,,,,,428288.72,,,
3.0,125232407.0,Delaware County Technical High School,Delaware,1912204.42,,,,,,,,,,,,,,,1175114.79,,,,,,,,,,,,,,405269.0,,,,,,,331820.63,,,,,,,,
3.0,105252807.0,Erie County Technical School,Erie,877516.0,,,,,,,,,,,,,,,366029.0,,,,,,,,,,,,,,,,399246.0,112241.0,,,,,,,,,,,,
3.0,101266007.0,Connellsville Area Career & Technical Center,Fayette,445111.81,,,,,,,,,,,,,,,101957.0,,,,,,,,,,,,,,,,,,,,,,,,,,343154.81,,,
3.0,101262507.0,Fayette County Career & Technical Institute,Fayette,1646280.34,,,,,,855889.01,,,,,,,,,282333.0,,,,,,,292450.99,,,,,,,,,,,,,,53513.62,,,,,162093.72,,,
3.0,112282307.0,Franklin County CTC,Franklin,822857.29,,,,,,,,,,,,,,,391283.0,,,,,,,,,,,,,,,,323569.08,,,,,108005.21,,,,,,,,
3.0,111292507.0,Fulton County Center for Career and Technology,Fulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,101302607.0,Greene County CTC,Greene,437103.63,,,,,,,,,,,,,,,93486.0,,,,,,,,234547.0,,,,,,,,,,,,,,,,,,109070.63,,,
3.0,111312607.0,Huntingdon County CTC,Huntingdon,212378.93,,,,,,,,,,,,,,,88122.0,,,,,,,,,,,,,,,,,3976.06,,,,73285.43,,,,,46995.44,,,
3.0,128324207.0,Indiana County Technology Center,Indiana,492719.23,,,,,,,,,,,,,,,179265.0,,,,,,,208209.0,,,,,,,,,,,,,,71868.51,,,,,33376.72,,,
3.0,106333407.0,Jefferson County-DuBois AVTS,Jefferson,743934.72,,191734.0,,,,167921.0,,,,,,,,,192332.0,,,,,,,71822.66,,,,,,,,,,,,,,120125.06,,,,,,,,
3.0,119354207.0,CTC of Lackawanna County,Lackawanna,1633887.0,,,,,,280321.0,,,,,,,,,555956.0,,,,,,,130209.0,,,,,,,,,422540.0,,,,,244861.0,,,,,,,,
3.0,113363807.0,Lancaster County CTC,Lancaster,4058976.59,,,,,,2413810.39,,,,,,,,,1154208.0,,,,,,,,,,,,,,,,,,,,,,,,,,490958.2,,,
3.0,104374207.0,Lawrence County CTC,Lawrence,344175.32,,,,,,,,,,,,,,,234000.25,,,,,,,,,,,,,,,,,,,,,,,,,,110175.07,,,
3.0,113384307.0,Lebanon County CTC,Lebanon,1245651.4,,,,,,675008.0,,,,,,,,,345701.48,,,,,,,,,,,,,,,,,,,,,,,,,,224941.92,,,
3.0,121393007.0,Lehigh Career & Technical Institute,Lehigh,1865922.54,,,,,,,,,,,,,,,1231623.55,,,,,,,,,,,,,,,,,,,,,263830.43,,,,,370468.56,,,
3.0,118408707.0,West Side CTC,Luzerne,580500.52,,,,,,,,,,,,,,,315187.0,,,,,,,,,,,,,,,,,40018.28,,,,63613.36,,,,,161681.88,,,
3.0,118408607.0,Wilkes-Barre Area CTC,Luzerne,1023987.83,,,,,,,,,,,,,,,565229.0,,,,,,,,,,,,,,,,,,,,,,,,,,458758.83,,,
3.0,117414807.0,Lycoming CTC,Lycoming,287082.22,,,,,,,,,,,,,,,120195.0,,,,,,,,,,,,,,,,,,,,,,,,,,166887.22,,,
3.0,109420107.0,Seneca Highlands Career and Technical Center,McKean,164994.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59592.98,,,,,105401.97,,,
3.0,104435107.0,Mercer County Career Center,Mercer,569905.0,,,,,,,,,,,,,,,295855.0,,,,,,,13296.0,,,,,,,,,,,,,,75674.0,,,,,185080.0,,,
3.0,111444307.0,Mifflin County Academy of Science and Technology,Mifflin,556969.0,,137596.0,,,,,,,,,,,,,166725.0,,,,,,,,,,,,,247975.0,,,,,,,,4673.0,,,,,,,,
3.0,120454507.0,Monroe Career & Tech Inst,Monroe,788937.91,,,,,,,,,,,,,,,428442.0,,,,,,,64101.2,,,,,,,,,,,,,,43029.71,,,,,253365.0,,,
3.0,123460957.0,Central Montco Technical High School,Montgomery,532501.0,,,,,,,,,,,,,,,283000.0,,,,,,,,,,,,,,,,,,,,,51622.0,,,,,197879.0,,,
3.0,123463507.0,Eastern Center for Arts & Technology,Montgomery,1542144.0,,,,,,,,,,,,,,,295438.0,,,,,,,,1136030.0,,,,,,,,,,,,,110676.0,,,,,,,,
3.0,123465507.0,North Montco Tech Career Center,Montgomery,605561.0,,,,,,,,,,,,,,,346903.0,,,,,,,,,,,,,,,,258658.0,,,,,,,,,,,,,
3.0,123469007.0,Western Montgomery CTC,Montgomery,543227.65,,,,,,,,,,,,,,,143476.0,,,,,,,,,,,,,,,,,,,,,48033.32,,,,,351718.33,,,
3.0,120481107.0,Bethlehem AVTS,Northampton,1118131.66,,,,,,,,,,,,,,,364078.0,,,,,,,,,,,,,,,,,50863.42,,,,,,,,,703190.24,,,
3.0,120483007.0,Career Institute of Technology,Northampton,279561.63,,,,,,,,,,,,,,,182392.63,,,,,,,,,,,,,,,,,59513.28,,,,,,,,,37655.72,,,
3.0,116495207.0,Northumberland County CTC,Northumberland,217639.66,,,,,,,,,,,,,,,113522.0,,,,,,,,,,,,,,,,,,,,,,,,,,104117.66,,,
3.0,126514007.0,Philadelphia AVTS,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,129546907.0,Schuylkill Technology Centers,Schuylkill,936342.08,,,,,,,,,,,,,,,370531.0,,,,,,,,,,,,,,,,,,,,,94604.6,,,,,471206.48,,,
3.0,108567807.0,Somerset County Technology Center,Somerset,900012.56,,241020.8,,,,,,,,,,,,,129109.0,,,,,123447.0,,,,,,,,,,,,,,,,189156.22,,,,,217279.54,,,
3.0,119584707.0,Susquehanna County CTC,Susquehanna,453660.16,,,,,,169626.5,,,,,,,,,130349.0,,,,,,,,,,,,,,,,,-0.59,,,,,,,,,153685.25,,,
3.0,116606707.0,SUN Area Technical Institute,Union,379347.52,,,,,,,,,,,,,,,218226.0,,,,,,,,,,,,,,,,,133058.24,,,,,,,,,28063.28,,,
3.0,106619107.0,Venango Technology Center,Venango,645139.4,,61109.0,,,,,,,,,,,,,201468.0,,,,,,,,109418.15,,,,,,,,273144.25,,,,,,,,,,,,,
3.0,101634207.0,Mon Valley CTC,Washington,283242.58,,,,,,,,,,,,,,,179646.0,,,,,,,,,,,,,,,,,72836.74,,,,,,,,,30759.84,,,
3.0,101638907.0,Western Area CTC,Washington,613347.39,,,,,,130049.08,,,,,,,,,245168.0,,,,,,,,,,,,,,,,,13098.85,,,,67300.5,,,,,157730.96,,,
3.0,107651207.0,Central Westmoreland CTC,Westmoreland,813565.07,,,,,,,,,,,,,,,359607.0,,,,,,,,,,,,,,,,,,,,,,,,,,453926.13,,31.94,
3.0,107652207.0,Eastern Westmoreland CTC,Westmoreland,185434.86,,,,,,,,,,,,,,,108616.0,,,,,,,,,,,,,,,,,,,,,,,,,,76818.86,,,
3.0,107656407.0,Northern Westmoreland CTC,Westmoreland,144572.0,,,,,,,,,,,,,,,144572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,112679107.0,York Co School of Technology,York,1002039.33,,,,,,,,,,,,,,,728061.0,,,,,,,,,,,,,,,,,57019.18,,,,176503.42,,,,5459.98,34995.75,,,
4.0,197010542.0,Gettysburg Montessori CS,Adams,181978.77,,,,,,26628.0,,,,33709.0,6179.0,,10000.0,,,,,,,,,,,,,,,,,,95767.79,,,,,,3545.21,,,,,6149.77,,
4.0,141019741.0,Vida CS,Adams,99975.27,,,,,,,,,,38143.49,4928.38,,10000.45,,,,,,,,,,,,,,,,,29583.95,13500.0,,,,,,200.0,,,,,3619.0,,
4.0,102024758.0,Catalyst Academy CS,Allegheny,485442.0,,,,,,161316.0,,,,84130.0,9763.0,,11191.0,,,153975.0,,,,,,,,,,,,,,46694.0,,,,,,,18373.0,,,,,,,
4.0,102020001.0,City CHS,Allegheny,1302966.0,,,,,,524.0,,,,252819.0,26792.0,1377.0,19557.0,,,,,,,,,,,,,,,,,437687.0,564210.0,,,,,,,,,,,,,
4.0,199025446.0,Environmental CS at Frick Park,Allegheny,2328090.0,,,,,,,,,,500593.0,49715.0,,42232.0,,,,,,,,,,,,,,,,,265736.0,1405205.0,,,,,,64609.0,,,,,,,
4.0,103029865.0,Life Male STEAM Academy CS,Allegheny,117444.91,,,,,,,,,,33905.0,3747.0,,,,,79792.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,102023030.0,Manchester Academic CS,Allegheny,1574640.0,,,,,,,,57144.0,,192199.0,19188.0,,14856.0,,,346455.0,,,,,,,,,,,,,,367678.0,577120.0,,,,,,,,,,,,,
4.0,102023217.0,Passport Academy CS,Allegheny,609656.0,,,,,,,,,,116694.0,5772.0,,131501.0,,,,,,,,,,,,,,,,,86123.0,235311.0,,,,,26686.0,,5370.0,2199.0,,,,,
4.0,103022481.0,Penn Hills CS of Entrepreneurship,Allegheny,733094.4,,,,,,,,,,152149.03,18819.2,,10053.0,,,,,,,,,,,,,,,,,230833.01,267482.16,,,,,,46903.0,3230.0,3625.0,,,,,
4.0,115220003.0,Pennsylvania Distance Learning CS,Allegheny,3193706.71,,,,,,,,,,694188.85,44489.61,1741.73,51090.68,,,,,,,,,,,,,,,,,892502.71,1416158.41,,,,,,70042.8,23491.92,,,,,,
4.0,160028259.0,Propel CS-Braddock Hills,Allegheny,1562543.0,,,,,,,,,,391319.0,42413.0,,30720.0,,,,,,,,,,,,,,,,,,912263.0,,,,,,150247.0,19110.0,,745.0,,,15726.0,
4.0,103020005.0,Propel CS-East,Allegheny,842821.0,,,,,,,,,,144397.0,16702.0,,157788.0,,,,,,,,,,,,,,,,,,469311.0,,,,,,54623.0,,,,,,,
4.0,103024952.0,Propel CS-Hazelwood,Allegheny,977251.0,,,,,,,,,,136799.0,13456.0,,400038.0,,,,,,,,,,,,,,,,,16602.0,352679.0,,,,,,57677.0,,,,,,,
4.0,103020002.0,Propel CS-Homestead,Allegheny,1030436.0,,,,,,,,,,316647.0,27535.0,,20952.0,,,,,,,,,,,,,,,,,1818.0,552176.0,,,,,,108002.0,3120.0,,186.0,,,,
4.0,103020003.0,Propel CS-McKeesport,Allegheny,800108.0,,,,,,,,,,226860.0,20912.0,,18045.0,,,,,,,,,,,,,,,,,69289.0,368633.0,,,,,,96369.0,,,,,,,
4.0,103020004.0,Propel CS-Montour,Allegheny,1644201.0,,,,,,,,,,458786.0,45155.0,,36373.0,,,,,,,,,,,,,,,,,308632.0,591778.0,,,,,,188917.0,14560.0,,,,,,
4.0,103028192.0,Propel CS-Northside,Allegheny,787473.0,,,,,,,,,,194984.0,19120.0,,15361.0,,,,,,,,,,,,,,,,,150913.0,326800.0,,,,,,80058.0,,,237.0,,,,
4.0,103024162.0,Propel CS-Pitcairn,Allegheny,325856.0,,,,,,,,,,87516.0,8945.0,,10000.0,,,,,,,,,,,,,,,,,74129.0,103669.0,,,,,,41505.0,,,92.0,,,,
4.0,102027560.0,Provident CS,Allegheny,987287.52,,,,,,,,,,89709.25,9884.0,,333667.82,,,,,,,,,,,,,,,,,62469.49,360215.56,,,,,,308.88,,,,,127087.4,3945.12,
4.0,103023410.0,Spectrum CS,Allegheny,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.0,
4.0,102020003.0,The New Academy CS,Allegheny,456193.0,,,,,,,,1243.0,,261821.0,5037.0,,15394.0,,,55395.0,,,,,,,,,,,,36268.0,,1013.0,78797.0,,,,,,,,,1225.0,,,,
4.0,103023090.0,Urban Academy of Greater Pittsburgh CS,Allegheny,1084793.0,,,,,,,,,,158225.0,16214.0,,11796.0,,,317893.0,,,,,,,,,,,,,,,532867.0,,,,,,23284.0,12257.0,12257.0,,,,,
4.0,102023080.0,Urban Pathways 6-12 CS,Allegheny,1027812.0,,,,,,,,,,154416.0,15300.0,,12283.0,,,226279.0,,,,,,,,,,,,,,104956.0,453939.0,,,,,,34401.0,13119.0,13119.0,,,,,
4.0,103028246.0,Urban Pathways K-5 College CS,Allegheny,1152085.0,,,,,,,,63400.0,,162731.0,14290.0,,12944.0,,,321212.0,,,,,,,,,,,,,,14490.0,550344.0,,,,,,1949.0,6926.0,3799.0,,,,,
4.0,103028425.0,Westinghouse Arts Academy CS,Allegheny,124712.86,,,,,,,,,,47775.61,8502.99,,4615.38,,,,,,,,,,,,,,,,,53571.28,9508.56,,,,,,527.87,105.58,105.59,,,,,
4.0,103020368.0,Young Scholars of Greater Allegheny CS,Allegheny,1250210.0,,,410372.0,,,,,177548.0,,70009.0,-8045.0,,5151.0,,,,,,,,,,,,,,,,,176894.0,372985.0,,,,,,32354.0,6471.0,6471.0,,,,,
4.0,103025206.0,Young Scholars of Western Pennsylvania CS,Allegheny,747092.0,,,,,,,,66759.0,,134196.0,12835.0,,10675.0,,,,,,,,,,,,,,,,,,446424.0,,,,,,66684.0,4560.0,4959.0,,,,,
4.0,127046517.0,Baden Academy CS,Beaver,519704.64,,,,,,,,,518.0,236180.9,29864.3,,13020.28,,,,,,,,,,,,,,,,,,239892.66,,,,,,,,,,,,228.5,
4.0,127040002.0,Lincoln Park Performing Arts CS,Beaver,783292.4,,,,,,,,,,130325.0,16297.0,,10872.0,,,,,,,,,,,,,,,,,,595809.4,,,,,,20046.0,3976.91,5966.09,,,,,
4.0,127041735.0,Midland Innovation & Technology CS,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,127043430.0,Pennsylvania Cyber CS,Beaver,4510782.58,,,,,,,,,,3878234.81,350643.0,,274069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7835.77,
4.0,108057079.0,HOPE for Hyndman CS,Bedford,372468.0,,,,,,17876.0,,,,34886.0,4996.0,,21880.0,,,135405.0,,,,,,,,,,,,,,58739.0,98686.0,,,,,,,,,,,,,
4.0,108070001.0,Central PA Digital Learning Foundation CS,Blair,250567.0,,,75000.0,,,,,58589.0,,34859.0,4048.0,,10000.0,,,,,,,,,,,,,,,,,,68071.0,,,,,,,,,,,,,
4.0,122093460.0,Bucks County Montessori CS,Bucks,27329.04,,,,,,,,27329.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,122090001.0,Center for Student Learning CS at Pennsbury,Bucks,315196.95,,,,,,,,81995.05,,95041.9,4265.0,,10000.0,,,,,,,,,,,,,,,,,21489.0,102406.0,,,,,,,,,,,,,
4.0,122093140.0,School Lane CS,Bucks,2273717.6,,,,,,,,166950.63,1099.0,444922.0,43010.0,21460.0,36373.0,,,,,,,,,,,,,,,,,,1547121.97,,,,,12781.0,,,,,,,,
4.0,110143060.0,Centre Learning Community CS,Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,110143120.0,Nittany Valley CS,Centre,10905.0,,,,,,,,10905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,110140001.0,Young Scholars of Central PA CS,Centre,282202.0,,,,,,,,71971.0,818.0,43929.0,7594.0,,36981.0,,,,,,,,,,,,,,,,,39180.0,81729.0,,,,,,,,,,,,,
4.0,124150002.0,21st Century Cyber CS,Chester,1186.0,,,,,,,,,,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,125230001.0,Achievement House CS,Chester,1686872.1,,,,,,,,,,479059.0,33729.0,4916.61,29706.0,,,,,,,,,,,,,,,,,431139.65,647899.12,,,,,,47122.48,,12466.13,834.11,,,,
4.0,124150003.0,Avon Grove CS,Chester,1970040.39,,,,,,,,289964.0,2688.0,253138.38,46940.0,4119.68,21432.0,,,,,,,,,,,,,,,,,160713.06,965492.56,,,,,,202205.11,,13877.8,5601.56,3625.79,242.45,,
4.0,124152880.0,Chester Co Family Academy CS,Chester,51399.48,,,,,,,,8681.57,128.0,,97.26,5164.47,,,,37328.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,124153320.0,Collegium CS,Chester,2560465.0,,,,,,,,,,518441.0,66576.0,42688.0,23847.0,,,,,,,,,,,,,,,,,631667.0,1087864.0,,,,,,,,,,,189382.0,,
4.0,124152637.0,Insight PA Cyber CS,Chester,14040757.0,,,,,,,,,,1898712.0,154341.0,22604.0,130970.0,,,,,,,,,,,,,,,,,,10997158.0,,,,,,501605.0,128834.0,138413.0,68120.0,,,,
4.0,124150004.0,Pennsylvania Leadership CS,Chester,5736651.88,,,,,,,,521762.0,,1043530.3,98218.16,1800.0,66447.96,,,,,,,,,,,,,,,90810.74,,1197281.03,2370407.86,,,,,,151591.74,53400.0,53055.8,10365.14,77981.15,,,
4.0,124153350.0,Renaissance Academy CS,Chester,907002.0,,,,,,179036.0,,,,194940.0,27206.0,8820.0,16068.0,,,,,,,,,,,,,,,5343.0,,171348.0,217288.0,,,48756.0,,,17632.0,13495.0,,7070.0,,,,
4.0,101833400.0,Sugar Valley Rural CS,Clinton,859762.61,,,,,,38868.0,,,,136859.71,17750.0,,10898.0,,,,,,,,,,,,,,,,,417617.41,89153.68,,,,,,34944.76,10442.0,5681.7,5855.0,13855.0,73211.72,4625.63,
4.0,115227010.0,Capital Area School for the Arts CS,Dauphin,91957.12,,,,,,,,24844.12,,67113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,115220002.0,Commonwealth Charter Academy CS,Dauphin,17861378.43,,,,,,,,,,8222579.0,768775.0,37243.32,533034.0,,,,,,,,,,,,,,,,,,6084639.1,,,,,,1375854.0,30913.85,276688.28,3895.58,,385542.87,142213.43,
4.0,115220001.0,Infinity CS,Dauphin,250288.0,,,,,,,,,,56884.0,17421.0,,,,,,,,,,,,,,,,,,,81111.0,85832.0,,,,,,6735.0,2305.0,,,,,,
4.0,115227398.0,Pennsylvania STEAM Academy CS,Dauphin,229409.23,,,,,,,,,,171767.7,17041.0,,10000.0,,,30600.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,115222343.0,Premier Arts and Science CS,Dauphin,1236871.66,,,,,,,,34417.67,,167322.0,9728.0,,13424.0,,,150226.09,,,,,,,,,,,,,,196542.59,623041.97,,,,,,42169.34,,,,,,,
4.0,115227871.0,Reach Cyber CS,Dauphin,15579662.54,,,,,,,,,,3058891.0,265710.0,6194.8,273651.72,,,,,,,,,,,,,,,,,1585679.38,9390896.23,,,,,,775076.75,212110.89,1592.81,9858.96,,,,
4.0,115223050.0,Sylvan Heights Science CS,Dauphin,915453.0,,,,,,,,,,166347.0,13732.0,,12548.0,,,,,,,,,,,,,,,14431.0,,373888.0,306678.0,,,,,,27829.0,,,,,,,
4.0,125236827.0,Chester Charter Scholars Academy CS,Delaware,2505622.96,,,,,,,,,,509313.0,39132.0,,329105.0,,,528969.41,,,,,,,,,,,,,,317895.38,662620.93,,,,,,55113.24,31737.0,31737.0,,,,,
4.0,125232950.0,Chester Community CS,Delaware,15156079.81,,,,,,1435329.53,,1236033.0,10974.0,3516463.47,254414.65,62305.01,299697.31,,,,,,,,,,113150.0,,,,,,,,7129690.25,,,,,,583850.46,219973.78,191810.52,101605.58,,,782.25,
4.0,125233517.0,Vision Academy CS,Delaware,309955.0,,,,,,,,89075.0,,186191.0,19498.0,,14563.0,,,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,105257512.0,Erie Rise Leadership Academy CS,Erie,1575187.03,,,,,,,,,,286270.28,18128.97,,297966.0,,,126928.92,,,,,,,,,,,,,,176957.32,654962.25,,,,,,,,13973.29,,,,,
4.0,105250004.0,Montessori Regional CS,Erie,780811.0,,,,,,,,,,379901.0,33702.0,,28160.0,,,,,,,,,,,,,,,,,68611.0,270437.0,,,,,,,,,,,,,
4.0,105250001.0,Perseus House CS of Excellence,Erie,2308637.49,,,,,,,,212564.12,,745953.13,34221.8,11506.0,35279.44,,,,,,,,,,,,,,,,,351450.99,786275.26,,,,,,2400.0,1117.8,,3805.66,118841.32,,5221.97,
4.0,105252920.0,Robert Benjamin Wiley Community CS,Erie,1257410.69,,,,,,,,,,,57092.78,,36110.05,,,,,,,,,,,,,,,,,590383.23,573824.63,,,,,,,,,,,,,
4.0,111440001.0,New Day CS,Huntingdon,192285.73,,,,,,,,,,118308.0,5945.0,,10000.0,,,,,,,,,,,,,,,,,,54235.29,,,,,,3797.44,,,,,,,
4.0,111315438.0,Stone Valley Community CS,Huntingdon,118947.05,,,,,,,,,,21479.0,2719.0,,10000.0,,,,,,,,,,11306.0,,,,,8793.96,,,64649.09,,,,,,,,,,,,,
4.0,119350001.0,Fell CS,Lackawanna,256438.0,,,,,,,,,,118584.0,8114.0,13709.0,,,,72170.0,,,,,,,,,,,,36067.0,,,7794.0,,,,,,,,,,,,,
4.0,119355028.0,Howard Gardner Multiple Intelligence CS,Lackawanna,584784.03,,,,,,,,,,96131.27,19475.36,,9526.36,19804.67,,79120.13,,,,,,,,,,,,,,168831.83,191894.41,,,,,,,,,,,,,
4.0,113362940.0,La Academia Partnership CS,Lancaster,717879.0,,,,,,,,86630.0,,162744.0,7567.0,12349.0,10000.0,,,101259.0,,,,,,,,,,,,,,109763.0,226082.0,,,,,,,,,1485.0,,,,
4.0,121395927.0,Arts Academy CS,Lehigh,985638.63,,,,,,,,,,150923.0,15300.0,,11116.0,,,,,,,,,,,,,,,,,145222.95,653372.15,,,,,,9180.05,524.48,,,,,,
4.0,121399898.0,Arts Academy Elementary CS,Lehigh,1430092.97,,,,,,,,,,254929.0,28316.0,,19932.0,,,,,,,,,,,,,,,,,357009.35,685218.63,,,,,,44952.54,18446.45,21289.0,,,,,
4.0,121394017.0,Circle of Seasons CS,Lehigh,498329.44,,,,,,,,,,73381.0,10828.0,833.3,10000.0,,,,,,,,,,,,,,,,,,369600.21,,,,,,29049.83,,4637.1,,,,,
4.0,121398065.0,Executive Education Academy CS,Lehigh,5089744.0,,,,,,,,,,816995.0,80267.0,13159.0,56946.0,,,,,,,,,,,,,,,,,1727819.0,2271890.0,,,,,,98972.0,7175.0,16521.0,,,,,
4.0,121395526.0,Innovative Arts Academy CS,Lehigh,1858513.76,,,,,,,,,,364454.0,34644.0,,27492.0,,,,,,,,,,,,,,,,,646688.98,743027.6,,,,,,35515.98,1506.47,5184.73,,,,,
4.0,175390169.0,Lincoln Leadership Academy CS,Lehigh,3666471.45,,,,,,,,100061.18,,553804.0,53885.0,13016.0,38069.0,,,711658.53,,,,,,,,,,,,,,879281.75,1134155.02,12750.0,,,,,116871.66,13074.31,39845.0,,,,,
4.0,121393330.0,Roberto Clemente CS,Lehigh,2738253.54,,,,,,,,60749.37,,460341.19,35886.89,27938.0,36140.65,,,641145.56,,,,,,,,,,,,49097.64,,619112.85,781942.75,,11128.75,,,,14769.89,,,,,,,
4.0,188392660.0,Seven Generations CS,Lehigh,511665.0,,,,,,,,,,138942.0,15060.0,,10000.0,,,,,,,,,,,,,,,,,,295938.0,,,,,,36947.0,7389.0,7389.0,,,,,
4.0,118400001.0,Bear Creek Community CS,Luzerne,2087323.04,,,,,,620766.5,,115989.72,1112.0,364043.23,32741.0,,29955.81,18772.0,,,,,,,,,,,,,,,,249705.01,563500.58,,,,,,70794.36,9461.0,10481.83,,,,,
4.0,104432830.0,Keystone Education Center CS,Mercer,983387.82,,15639.0,,,,,,,,362854.0,8626.0,,10000.0,,,,,,,,,,,,,,,,,169518.48,186124.84,,,,,,3400.0,3141.62,,2825.69,221258.19,,,
4.0,120450003.0,Evergreen Community CS,Monroe,36933.0,,,36933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
