AUN,School District,County,"Total Act 1, 511 and First Class SD Taxes (6130, 6140, 6150, 6160)",Act 1 Earned Income 6131,Total Act 511 Flat 6140,"Per Capita
6141","Occupation
Flat 6142","Local Services / Occupational Privilege
6143","Business Privilege Flat
6145","Mechanical Device Flat
6146","Other Flat Rate Assessments
6149","Total Act 511 Proportional
6150","Act 511 Earned Income
6151","Occupation Millage
6152","Real Estate Transfer
6153","Amusement
6154","Business Privilege Proportional
6155","Mechanical Device Percentage
6156","Mercantile
6157","Other Proportional Assessments
6159","Total Non-Real Estate First Class SD Only
6160","1st Class Earned Income
6161","Liquor Sales
6162","Business Use & Occupancy
6166","Non-Business Income
6167","Real Estate Transfer
6168",Current Mercantile 6169
102027451.0,Pittsburgh SD,Allegheny,115258876.29,,0.0,,,,,,,0.0,,,,,,,,,115258876.29,101252866.06,,,,14003045.23,2965.0
103027503.0,Plum Borough SD,Allegheny,3854773.62,,113647.79999999999,84763.37,,28884.43,,,,3741125.8200000003,3435519.47,,305606.35,,,,,,0.0,,,,,,
103027753.0,Quaker Valley SD,Allegheny,4416134.34,,36289.8,36289.8,,,,,,4379844.54,3768525.98,,611318.56,,,,,,0.0,,,,,,
103028203.0,Riverview SD,Allegheny,1476044.5500000003,,16771.33,,,16771.33,,,,1459273.2200000002,1237109.36,,222163.86,,,,,,0.0,,,,,,
103028302.0,Shaler Area SD,Allegheny,5155605.27,,31134.08,,,31134.08,,,,5124471.1899999995,4689591.31,,434879.88,,,,,,0.0,,,,,,
103028653.0,South Allegheny SD,Allegheny,1052119.6099999999,,0.0,,,,,,,1052119.6099999999,1009307.23,,42812.38,,,,,,0.0,,,,,,
103028703.0,South Fayette Township SD,Allegheny,3346561.33,,66888.22,41223.2,,25665.02,,,,3279673.11,2824672.98,,455000.13,,,,,,0.0,,,,,,
103028753.0,South Park SD,Allegheny,2063991.99,,53702.020000000004,42213.37,,11488.65,,,,2010289.97,1867368.78,,116471.19,26450.0,,,,,0.0,,,,,,
103028833.0,Steel Valley SD,Allegheny,1686275.42,,33942.25,,33942.25,,,,,1652333.17,1541449.43,,66961.68,43922.06,,,,,0.0,,,,,,
103028853.0,Sto-Rox SD,Allegheny,928187.04,,18211.04,,,18211.04,,,,909976.0,777955.02,,58825.37,,,,73195.61,,0.0,,,,,,
103029203.0,Upper Saint Clair SD,Allegheny,5876918.06,,0.0,,,,,,,5876918.06,5064701.52,,573032.37,,,,239184.17,,0.0,,,,,,
103029403.0,West Allegheny SD,Allegheny,5063065.44,,1028280.0399999999,,,108311.58,,,919968.46,4034785.4000000004,3396890.25,,509524.53,,,,,128370.62,0.0,,,,,,
103029553.0,West Jefferson Hills SD,Allegheny,4889241.47,,39564.89,,,39564.89,,,,4849676.58,2798747.96,,446877.3,,1323140.61,,280910.71,,0.0,,,,,,
103029603.0,West Mifflin Area SD,Allegheny,3936212.5200000005,,96261.95,,,96261.95,,,,3839950.5700000003,2093432.58,,142795.43,429325.56,596665.32,,577731.68,,0.0,,,,,,
103029803.0,Wilkinsburg Borough SD,Allegheny,1430192.99,,13353.97,,,13353.97,,,,1416839.02,1229897.69,,186941.33,,,,,,0.0,,,,,,
103029902.0,Woodland Hills SD,Allegheny,5230766.52,,0.0,,,,,,,5230766.52,4811890.5,,418876.02,,,,,,0.0,,,,,,
128030603.0,Apollo-Ridge SD,Armstrong,551181.97,,32363.0,20683.03,,11679.97,,,,518818.97000000003,464976.09,,53842.88,,,,,,0.0,,,,,,
128030852.0,Armstrong SD,Armstrong,4229538.15,,0.0,,,,,,,4229538.15,3966872.47,,262665.68,,,,,,0.0,,,,,,
128033053.0,Freeport Area SD,Armstrong,1716617.1500000001,,16560.06,,,16560.06,,,,1700057.09,1556372.01,,143685.08,,,,,,0.0,,,,,,
128034503.0,Leechburg Area SD,Armstrong,493546.93,,5420.22,,,5420.22,,,,488126.71,451399.96,,36726.75,,,,,,0.0,,,,,,
127040503.0,Aliquippa SD,Beaver,730972.19,,8980.97,,,8980.97,,,,721991.22,603054.99,,47170.51,,,,71765.72,,0.0,,,,,,
127040703.0,Ambridge Area SD,Beaver,3196064.71,,68019.03,47569.99,,20449.04,,,,3128045.68,2704187.53,,335216.51,,,,88641.64,,0.0,,,,,,
127041203.0,Beaver Area SD,Beaver,2462529.0,,70091.0,31013.0,,39078.0,,,,2392438.0,2013032.0,,379406.0,,,,,,0.0,,,,,,
127041503.0,Big Beaver Falls Area SD,Beaver,1232425.0,,52344.0,22750.0,,21769.0,,7825.0,,1180081.0,972220.0,,89229.0,,,,118632.0,,0.0,,,,,,
127041603.0,Blackhawk SD,Beaver,2550228.7899999996,,53042.729999999996,19868.73,,33174.0,,,,2497186.0599999996,2163952.23,,298654.55,34579.28,,,,,0.0,,,,,,
127042003.0,Central Valley SD,Beaver,2924361.51,,40362.09,,,40362.09,,,,2883999.42,2357061.54,,208531.37,,,,318406.51,,0.0,,,,,,
127042853.0,Freedom Area SD,Beaver,1269596.2,,12886.7,,,12886.7,,,,1256709.5,1158260.02,,98449.48,,,,,,0.0,,,,,,
127044103.0,Hopewell Area SD,Beaver,2531561.6700000004,,21694.74,,,21694.74,,,,2509866.93,2182949.91,,212771.87,,,,114145.15,,0.0,,,,,,
127045303.0,Midland Borough SD,Beaver,217983.25,,7769.61,,,7769.61,,,,210213.64,198118.73,,12094.91,,,,,,0.0,,,,,,
127045653.0,New Brighton Area SD,Beaver,1177057.0,,34467.0,21849.0,,12618.0,,,,1142590.0,989237.0,,61613.0,,91740.0,,,,0.0,,,,,,
127045853.0,Riverside Beaver County SD,Beaver,1302044.8499999999,,35405.65,35405.65,,,,,,1266639.2,1179043.51,,87595.69,,,,,,0.0,,,,,,
127046903.0,Rochester Area SD,Beaver,862682.0,,58044.0,31658.0,12905.0,13481.0,,,,804638.0,640391.0,,36089.0,,23224.0,,104934.0,,0.0,,,,,,
127047404.0,South Side Area SD,Beaver,979898.0,,13805.0,,,13805.0,,,,966093.0,842056.0,,86662.0,,37375.0,,,,0.0,,,,,,
127049303.0,Western Beaver County SD,Beaver,665248.0,,0.0,,,,,,,665248.0,608018.0,,57230.0,,,,,,0.0,,,,,,
108051003.0,Bedford Area SD,Bedford,2869926.37,1252013.0,127873.07,43288.9,,84584.17,,,,1490040.3,1306009.56,,184030.74,,,,,,0.0,,,,,,
108051503.0,Chestnut Ridge SD,Bedford,998349.2999999999,,30328.0,30328.0,,,,,,968021.2999999999,867530.69,,100490.61,,,,,,0.0,,,,,,
108053003.0,Everett Area SD,Bedford,1594099.62,799273.35,61200.850000000006,24429.7,,36771.15,,,,733625.42,666056.03,,67569.39,,,,,,0.0,,,,,,
108056004.0,Northern Bedford County SD,Bedford,644838.34,,58576.91,18888.0,22478.0,17210.91,,,,586261.4299999999,530589.32,,45110.65,10561.46,,,,,0.0,,,,,,
108058003.0,Tussey Mountain SD,Bedford,587048.61,,27236.57,17031.35,,10205.22,,,,559812.04,457303.02,,102509.02,,,,,,0.0,,,,,,
114060503.0,Antietam SD,Berks,875324.11,,18693.6,18693.6,,,,,,856630.51,765420.88,,91209.63,,,,,,0.0,,,,,,
114060753.0,Boyertown Area SD,Berks,7306522.71,,197988.0,143264.2,,54723.8,,,,7108534.71,6184690.95,,923843.76,,,,,,0.0,,,,,,
114060853.0,Brandywine Heights Area SD,Berks,1759540.93,,51181.64,35052.2,,16129.44,,,,1708359.29,1568508.93,,139850.36,,,,,,0.0,,,,,,
114061103.0,Conrad Weiser Area SD,Berks,2567423.7600000002,,59260.9,59260.9,,,,,,2508162.8600000003,2218027.62,,290135.24,,,,,,0.0,,,,,,
114061503.0,Daniel Boone Area SD,Berks,3213392.22,,56979.8,56979.8,,,,,,3156412.4200000004,2815857.22,,340555.2,,,,,,0.0,,,,,,
114062003.0,Exeter Township SD,Berks,4505290.1899999995,,144073.75,70869.4,,73204.35,,,,4361216.4399999995,3558711.67,,302419.22,,,,500085.55,,0.0,,,,,,
114062503.0,Fleetwood Area SD,Berks,2308802.2099999995,,51308.28,,,51308.28,,,,2257493.9299999997,2007708.01,,213036.41,36749.51,,,,,0.0,,,,,,
114063003.0,Governor Mifflin SD,Berks,4748680.03,,218559.07,93735.9,75583.87,49239.3,,,,4530120.96,4154857.56,,375263.4,,,,,,0.0,,,,,,
114063503.0,Hamburg Area SD,Berks,2135357.0100000002,,54974.6,54974.6,,,,,,2080382.4100000001,1908231.6,,172150.81,,,,,,0.0,,,,,,
114064003.0,Kutztown Area SD,Berks,1769621.98,,69101.32,35189.1,,33912.22,,,,1700520.66,1503969.94,,160308.0,36242.72,,,,,0.0,,,,,,
114065503.0,Muhlenberg SD,Berks,3836414.0,,61691.0,,,61691.0,,,,3774723.0,2487250.0,,330439.0,,,,957034.0,,0.0,,,,,,
114066503.0,Oley Valley SD,Berks,1979686.7399999998,,41001.4,41001.4,,,,,,1938685.3399999999,1750470.15,,188215.19,,,,,,0.0,,,,,,
114067002.0,Reading SD,Berks,13931722.459999999,8157384.35,1305896.03,,,115581.68,1190314.35,,,4468442.08,4078692.19,,389749.89,,,,,,0.0,,,,,,
114067503.0,Schuylkill Valley SD,Berks,2020621.47,,39332.0,39332.0,,,,,,1981289.47,1711283.38,,270006.09,,,,,,0.0,,,,,,
114068003.0,Tulpehocken Area SD,Berks,1540563.56,,34880.77,34880.77,,,,,,1505682.79,1352024.56,,153658.23,,,,,,0.0,,,,,,
114068103.0,Twin Valley SD,Berks,3319063.5199999996,,0.0,,,,,,,3319063.5199999996,2962367.51,,356696.01,,,,,,0.0,,,,,,
114069103.0,Wilson SD,Berks,8599135.19,,217867.27,119054.12,,98813.15,,,,8381267.92,5449388.02,,639647.4,,2292232.5,,,,0.0,,,,,,
114069353.0,Wyomissing Area SD,Berks,3092330.4,,83566.17,31307.3,,52258.87,,,,3008764.23,2210612.19,,370673.1,,427478.94,,,,0.0,,,,,,
108070502.0,Altoona Area SD,Blair,8337567.87,,372327.2,127375.03,103128.32,141823.85,,,,7965240.67,4521999.78,,442085.75,14622.24,2016277.26,,970255.64,,0.0,,,,,,
108071003.0,Bellwood-Antis SD,Blair,823945.6199999999,,52701.45,15678.65,14014.17,22266.63,,742.0,,771244.1699999999,713559.96,,57684.21,,,,,,0.0,,,,,,
108071504.0,Claysburg-Kimmel SD,Blair,457596.95,,34061.2,18062.2,,15999.0,,,,423535.75,404103.05,,19432.7,,,,,,0.0,,,,,,
108073503.0,Hollidaysburg Area SD,Blair,3768245.11,,242507.63,94075.9,148431.73,,,,,3525737.48,3097965.56,,427771.92,,,,,,0.0,,,,,,
108077503.0,Spring Cove SD,Blair,1344812.32,,164730.71999999997,22425.32,66056.51,76248.89,,,,1180081.6,1180081.6,,,,,,,,0.0,,,,,,
108078003.0,Tyrone Area SD,Blair,1464623.94,,0.0,,,,,,,1464623.94,1464623.94,,,,,,,,0.0,,,,,,
108079004.0,Williamsburg Community SD,Blair,330309.25000000006,,13048.77,8170.0,,4878.77,,,,317260.48000000004,277098.46,,40162.02,,,,,,0.0,,,,,,
117080503.0,Athens Area SD,Bradford,2866722.09,,0.0,,,,,,,2866722.09,2684857.86,,181864.23,,,,,,0.0,,,,,,
117081003.0,Canton Area SD,Bradford,662916.9,,13158.5,13158.5,,,,,,649758.4,502238.47,28137.3,119382.63,,,,,,0.0,,,,,,
117083004.0,Northeast Bradford SD,Bradford,716923.65,,13424.55,13424.55,,,,,,703499.1,395204.19,256770.06,51524.85,,,,,,0.0,,,,,,
117086003.0,Sayre Area SD,Bradford,1480156.53,,0.0,,,,,,,1480156.53,1386887.72,,93268.81,,,,,,0.0,,,,,,
117086503.0,Towanda Area SD,Bradford,1570367.8299999998,,0.0,,,,,,,1570367.8299999998,1363923.69,173.66,206270.48,,,,,,0.0,,,,,,
117086653.0,Troy Area SD,Bradford,1255291.6800000002,,25692.1,25692.1,,,,,,1229599.58,743000.53,380703.2,105895.85,,,,,,0.0,,,,,,
117089003.0,Wyalusing Area SD,Bradford,1668614.7,,24561.7,24561.7,,,,,,1644053.0,1501228.35,,142824.65,,,,,,0.0,,,,,,
122091002.0,Bensalem Township SD,Bucks,5477883.13,,208947.63,,,177864.28,,28020.1,3063.25,5268935.5,,,1107504.09,,4161431.41,,,,0.0,,,,,,
122091303.0,Bristol Borough SD,Bucks,224194.08000000002,,36791.58,,,36791.58,,,,187402.5,,,187402.5,,,,,,0.0,,,,,,
122091352.0,Bristol Township SD,Bucks,1498441.91,,163595.16,80441.71,,83153.45,,,,1334846.75,,,801208.97,,,,533637.78,,0.0,,,,,,
122092002.0,Centennial SD,Bucks,7874346.430000001,,93975.79,,,93975.79,,,,7780370.640000001,5025196.12,,1005456.34,,1043084.44,,706633.74,,0.0,,,,,,
122092102.0,Central Bucks SD,Bucks,27415509.21,,0.0,,,,,,,27415509.21,23100643.52,,4314865.69,,,,,,0.0,,,,,,
122092353.0,Council Rock SD,Bucks,23830645.31,,364863.2,232463.2,,132400.0,,,,23465782.11,16545812.85,4313071.2,2606898.06,,,,,,0.0,,,,,,
122097203.0,Morrisville Borough SD,Bucks,97281.58,,0.0,,,,,,,97281.58,,,97281.58,,,,,,0.0,,,,,,
122097502.0,Neshaminy SD,Bucks,5326049.62,,380299.33,196175.76,,184123.57,,,,4945750.29,,,1648386.21,632553.88,1378685.11,,1286125.09,,0.0,,,,,,
122097604.0,New Hope-Solebury SD,Bucks,5469272.91,,0.0,,,,,,,5469272.91,4634026.35,,835246.56,,,,,,0.0,,,,,,
122098003.0,Palisades SD,Bucks,2521165.01,,0.0,,,,,,,2521165.01,2113034.63,,385037.54,23092.84,,,,,0.0,,,,,,
122098103.0,Pennridge SD,Bucks,14823321.0,,89644.0,,,89644.0,,,,14733677.0,13680061.0,,1053616.0,,,,,,0.0,,,,,,
122098202.0,Pennsbury SD,Bucks,1972129.71,,0.0,,,,,,,1972129.71,,,1972129.71,,,,,,0.0,,,,,,
122098403.0,Quakertown Community SD,Bucks,9704836.15,,69644.9,69644.9,,,,,,9635191.25,8947079.22,,688112.03,,,,,,0.0,,,,,,
104101252.0,Butler Area SD,Butler,6402369.54,,266422.62,147606.0,,118816.62,,,,6135946.92,5482947.12,,652999.8,,,,,,0.0,,,,,,
104103603.0,Karns City Area SD,Butler,962886.4299999999,,31438.58,25980.5,,5458.08,,,,931447.85,844536.73,,86911.12,,,,,,0.0,,,,,,
104105003.0,Mars Area SD,Butler,5302770.76,,64542.05,,,64542.05,,,,5238228.71,4165019.98,,1073208.73,,,,,,0.0,,,,,,
104105353.0,Moniteau SD,Butler,916996.1400000001,,51169.55,27416.9,,23752.65,,,,865826.5900000001,819004.28,,46822.31,,,,,,0.0,,,,,,
104107903.0,Seneca Valley SD,Butler,11640391.55,,153448.41,,,,,,153448.41,11486943.14,9639343.63,,1847599.51,,,,,,0.0,,,,,,
104107503.0,Slippery Rock Area SD,Butler,1912960.0,,43074.0,43074.0,,,,,,1869886.0,1710552.0,,159334.0,,,,,,0.0,,,,,,
104107803.0,South Butler County SD,Butler,2531974.91,,85119.08,55256.3,,29862.78,,,,2446855.83,2191469.29,,255386.54,,,,,,0.0,,,,,,
108110603.0,Blacklick Valley SD,Cambria,437481.54,,24443.6,11235.0,,13208.6,,,,413037.94,398379.33,,14658.61,,,,,,0.0,,,,,,
108111203.0,Cambria Heights SD,Cambria,973663.3,,26133.5,26133.5,,,,,,947529.8,913634.11,,33895.69,,,,,,0.0,,,,,,
108111303.0,Central Cambria SD,Cambria,1460845.92,,73902.20999999999,36348.22,,37553.99,,,,1386943.71,1297701.0,,89242.71,,,,,,0.0,,,,,,
108111403.0,Conemaugh Valley SD,Cambria,628071.05,,8152.25,,,8152.25,,,,619918.8,598991.06,,20927.74,,,,,,0.0,,,,,,
108112003.0,Ferndale Area SD,Cambria,409898.17,,12196.8,12196.8,,,,,,397701.37,378581.36,,19120.01,,,,,,0.0,,,,,,
108112203.0,Forest Hills SD,Cambria,1309012.35,,43439.95,22148.56,21291.39,,,,,1265572.4000000001,1211132.1,,54440.3,,,,,,0.0,,,,,,
108112502.0,Greater Johnstown SD,Cambria,2424763.71,,455905.93999999994,37687.36,28924.25,53507.98,335786.35,,,1968857.77,1503611.5,,129459.89,,,,335786.38,,0.0,,,,,,
108114503.0,Northern Cambria SD,Cambria,696834.1,,27720.53,19291.3,,8429.23,,,,669113.57,650321.38,,18792.19,,,,,,0.0,,,,,,
108116003.0,Penn Cambria SD,Cambria,1318116.39,,75064.7,35186.35,21001.15,18877.2,,,,1243051.69,1181781.41,,61270.28,,,,,,0.0,,,,,,
108116303.0,Portage Area SD,Cambria,567833.95,,17625.86,5672.2,4751.5,7202.16,,,,550208.09,514715.39,,35492.7,,,,,,0.0,,,,,,
108116503.0,Richland SD,Cambria,2421793.0,,112369.0,21550.0,,90819.0,,,,2309424.0,1540833.0,,180342.0,,,,588249.0,,0.0,,,,,,
108118503.0,Westmont Hilltop SD,Cambria,1881295.5300000003,,32036.1,32036.1,,,,,,1849259.4300000002,1736349.37,,112910.06,,,,,,0.0,,,,,,
109122703.0,Cameron County SD,Cameron,456285.0,,9740.0,9740.0,,,,,,446545.0,423701.0,,22844.0,,,,,,0.0,,,,,,
121135003.0,Jim Thorpe Area SD,Carbon,1787010.9,,58418.42,30423.78,,27505.22,,489.42,,1728592.48,1313639.26,,336521.34,78431.88,,,,,0.0,,,,,,
121135503.0,Lehighton Area SD,Carbon,2649094.49,,48606.1,48606.1,,,,,,2600488.39,1656212.72,817315.06,126960.61,,,,,,0.0,,,,,,
121136503.0,Palmerton Area SD,Carbon,1637744.6300000001,,51434.04,36444.3,,14989.74,,,,1586310.59,1434087.83,,152222.76,,,,,,0.0,,,,,,
121136603.0,Panther Valley SD,Carbon,1380376.47,,42674.78,26194.9,,16479.88,,,,1337701.69,893077.49,382817.5,61806.7,,,,,,0.0,,,,,,
121139004.0,Weatherly Area SD,Carbon,541266.0599999999,,12134.1,11409.1,,,,725.0,,529131.96,454488.78,,61150.49,13492.69,,,,,0.0,,,,,,
110141003.0,Bald Eagle Area SD,Centre,4835484.48,2268471.17,65360.81,38262.6,,27098.21,,,,2501652.5,2361061.87,,140590.63,,,,,,0.0,,,,,,
110141103.0,Bellefonte Area SD,Centre,5856446.1899999995,,67248.31,,,67248.31,,,,5789197.88,5288261.87,,500936.01,,,,,,0.0,,,,,,
110147003.0,Penns Valley Area SD,Centre,3081689.23,,0.0,,,,,,,3081689.23,2922302.89,,159386.34,,,,,,0.0,,,,,,
110148002.0,State College Area SD,Centre,18013123.95,,362220.8,,,362220.8,,,,17650903.15,15694477.95,,1956425.2,,,,,,0.0,,,,,,
124150503.0,Avon Grove SD,Chester,822118.33,,0.0,,,,,,,822118.33,,,822118.33,,,,,,0.0,,,,,,
124151902.0,Coatesville Area SD,Chester,8719398.16,,78074.31,,,78074.31,,,,8641323.85,7561788.51,,1079535.34,,,,,,0.0,,,,,,
124152003.0,Downingtown Area SD,Chester,17746308.88,,204042.15,,,204042.15,,,,17542266.73,15098450.83,,2443815.9,,,,,,0.0,,,,,,
124153503.0,Great Valley SD,Chester,1373742.29,,0.0,,,,,,,1373742.29,,,1373742.29,,,,,,0.0,,,,,,
124154003.0,Kennett Consolidated SD,Chester,4865992.38,,0.0,,,,,,,4865992.38,4077296.96,,788695.42,,,,,,0.0,,,,,,
124156503.0,Octorara Area SD,Chester,2375499.73,,0.0,,,,,,,2375499.73,1995563.07,,379936.66,,,,,,0.0,,,,,,
124156603.0,Owen J Roberts SD,Chester,7065381.97,,0.0,,,,,,,7065381.97,6038764.07,,811323.34,,,,215294.56,,0.0,,,,,,
124156703.0,Oxford Area SD,Chester,2308561.16,,0.0,,,,,,,2308561.16,1972012.56,,336548.6,,,,,,0.0,,,,,,
124157203.0,Phoenixville Area SD,Chester,8258180.7,,69371.4,69371.4,,,,,,8188809.3,5913081.51,1121979.7,1153748.09,,,,,,0.0,,,,,,
124157802.0,Tredyffrin-Easttown SD,Chester,2500562.87,,0.0,,,,,,,2500562.87,,,2475072.4,25490.47,,,,,0.0,,,,,,
124158503.0,Unionville-Chadds Ford SD,Chester,1115042.34,,0.0,,,,,,,1115042.34,,,1115042.34,,,,,,0.0,,,,,,
124159002.0,West Chester Area SD,Chester,23185204.86,,0.0,,,,,,,23185204.86,19460470.12,,3724734.74,,,,,,0.0,,,,,,
106160303.0,Allegheny-Clarion Valley SD,Clarion,468252.43000000005,,14426.9,14426.9,,,,,,453825.53,415271.32,,38554.21,,,,,,0.0,,,,,,
106161203.0,Clarion Area SD,Clarion,865908.8099999999,,47827.689999999995,11527.1,,36300.59,,,,818081.12,622477.98,105050.5,90552.64,,,,,,0.0,,,,,,
106161703.0,Clarion-Limestone Area SD,Clarion,685734.45,,32029.16,15989.57,,16039.59,,,,653705.2899999999,597982.21,,55723.08,,,,,,0.0,,,,,,
106166503.0,Keystone SD,Clarion,842723.64,,21044.05,21044.05,,,,,,821679.59,600721.96,178676.78,42280.85,,,,,,0.0,,,,,,
106167504.0,North Clarion County SD,Clarion,535547.36,,11377.25,11377.25,,,,,,524170.11,428374.38,66698.1,29097.63,,,,,,0.0,,,,,,
106168003.0,Redbank Valley SD,Clarion,763403.7100000001,,64617.4,41830.5,22786.9,,,,,698786.31,644527.02,,54259.29,,,,,,0.0,,,,,,
106169003.0,Union SD,Clarion,419184.2,,16476.2,9143.2,,7333.0,,,,402708.0,296577.0,86819.0,19312.0,,,,,,0.0,,,,,,
110171003.0,Clearfield Area SD,Clearfield,1702311.5,,46807.54,,,46807.54,,,,1655503.96,1537133.93,,118370.03,,,,,,0.0,,,,,,
110171803.0,Curwensville Area SD,Clearfield,611943.03,,0.0,,,,,,,611943.03,566105.11,,45837.92,,,,,,0.0,,,,,,
106172003.0,Dubois Area SD,Clearfield,3273346.28,,150310.57,71438.75,,78871.82,,,,3123035.71,2822093.11,,300942.6,,,,,,0.0,,,,,,
