AUN,School District,County,Tuition to Other SDs in the State,"Tuition to Brick & Mortar Charter
Schools:
Nonspecial","Tuition to Cyber Charter
Schools:
Nonspecial","Tuition to Brick & Mortar Charter
Schools:
Special","Tuition to Cyber Charter
Schools:
Special",Tuition to Nonpublic Schools,Tuition to CTCs,Tuition to Higher Ed and Technical Institutes,Tuition to Approved Private Schools,Tuition to PRRIs and Detention Centers,Tuition to Other LEAs
103026902.0,North Hills SD,Allegheny,51330.0,293779.38,517585.29,340336.86,394043.94,,1040757.0,,1202212.55,23280.98,605399.86
103026873.0,Northgate SD,Allegheny,87625.95,406239.33,680048.12,104555.03,133901.37,,579208.0,,596784.78,159958.0,23250.0
103027352.0,Penn Hills SD,Allegheny,700910.32,1811836.45,8014048.0,1832269.92,6538013.92,284171.8,718781.91,31718.0,1202522.84,223278.2,
103021003.0,Pine-Richland SD,Allegheny,,51259.0,365700.0,81827.0,291262.0,,687133.0,,1639635.0,,226855.0
102027451.0,Pittsburgh SD,Allegheny,3590573.33,84839085.23,35514138.36,19233190.82,4840621.62,,,6000.0,3434988.83,134131.27,533586.04
103027503.0,Plum Borough SD,Allegheny,172180.56,326618.3,471495.91,72804.88,303899.41,,808938.28,,552209.24,,359838.11
103027753.0,Quaker Valley SD,Allegheny,18000.0,132420.27,263880.11,111684.56,87082.45,,247579.38,,214279.66,68589.52,45338.1
103028203.0,Riverview SD,Allegheny,7282.89,308674.96,296694.29,0.0,0.0,,189250.04,,552383.92,198791.95,16600.0
103028302.0,Shaler Area SD,Allegheny,71018.25,342964.01,997975.73,388985.68,422717.78,674857.34,1462184.2,,792738.11,44076.23,216203.96
103028653.0,South Allegheny SD,Allegheny,1166714.03,519592.63,357740.95,533516.29,662951.29,,459157.52,,664002.17,,
103028703.0,South Fayette Township SD,Allegheny,,40691.51,335561.12,52263.38,254388.52,692002.26,618290.09,3973.34,422768.62,,
103028753.0,South Park SD,Allegheny,13771.0,76754.83,321308.9,65090.92,443245.4,694003.78,467978.08,,301329.65,28078.75,
103028833.0,Steel Valley SD,Allegheny,12553.69,2081700.56,679987.74,1937559.34,1288293.29,1001839.52,337104.18,5250.0,540031.42,4764.05,12675.0
103028853.0,Sto-Rox SD,Allegheny,120058.38,5393522.33,1797840.77,1796049.59,0.0,409022.52,208699.4,1200.0,720299.32,8283.94,
103029203.0,Upper St. Clair SD,Allegheny,12648.0,29125.26,290593.8,116457.05,48027.42,743155.64,294097.12,,291122.94,,10059.0
103029403.0,West Allegheny SD,Allegheny,47741.79,245056.4,526393.51,0.0,143561.87,686001.74,704640.57,76743.99,113373.69,308765.52,
103029553.0,West Jefferson Hills SD,Allegheny,8565.0,71886.07,232154.4,19372.78,145989.3,150886.27,506406.58,54683.0,155046.59,,
103029603.0,West Mifflin Area SD,Allegheny,86899.57,814302.28,814302.28,628289.17,628289.17,,562030.83,,953393.65,22428.11,1132004.25
103029803.0,Wilkinsburg Borough SD,Allegheny,1643090.04,4184752.57,981608.63,3937287.92,923561.37,,10250.85,,671976.3,894.0,445857.94
103029902.0,Woodland Hills SD,Allegheny,313325.3,9512385.83,2176058.56,9872391.48,2740143.09,145310.0,483706.95,,1948849.24,218390.35,
128030603.0,Apollo-Ridge SD,Armstrong,20332.34,,619905.46,,430181.2,538830.6,981200.05,,,,259692.01
128030852.0,Armstrong SD,Armstrong,3565082.15,,1443209.83,,1412428.87,,5189220.84,,219951.48,45843.99,
128033053.0,Freeport Area SD,Armstrong,18219.64,,342056.81,,163133.84,314269.91,702153.19,,303137.77,186408.33,25555.45
128034503.0,Leechburg Area SD,Armstrong,68396.18,,580765.3,,321943.45,73379.93,182464.15,,87705.97,,
127040503.0,Aliquippa SD,Beaver,41066.3,,3462251.0,,524223.7,14000.0,273510.4,,266856.63,1954.0,
127040703.0,Ambridge Area SD,Beaver,291984.2,3981694.13,,3359680.35,,363024.56,356820.38,,713999.09,,
127041203.0,Beaver Area SD,Beaver,407989.8,478992.37,385631.34,218378.99,122888.94,76897.14,392282.9,13896.71,312647.7,89649.52,
127041503.0,Big Beaver Falls Area SD,Beaver,207864.68,104404.9,1790155.23,0.0,0.0,488607.55,344087.18,,69813.15,,
127041603.0,Blackhawk SD,Beaver,10944.83,1082696.66,41793.0,0.0,0.0,287766.35,533838.42,,410819.63,114595.38,650508.07
127042003.0,Central Valley SD,Beaver,21982.19,795163.88,667742.18,116214.71,341264.69,,296022.75,,151299.11,5695.0,
127042853.0,Freedom Area SD,Beaver,1514.38,476224.66,474058.71,251156.5,328733.16,365591.67,330295.37,,142942.23,13500.0,
127044103.0,Hopewell Area SD,Beaver,36417.85,788666.8,571444.86,335700.44,664560.82,,427401.9,,56199.56,,
127045303.0,Midland Borough SD,Beaver,443123.95,539191.97,211617.13,114780.96,296044.62,21270.64,,,29335.87,11272.19,
127045653.0,New Brighton Area SD,Beaver,70202.92,480440.19,373279.81,201125.13,360695.56,254026.54,394282.81,,175547.57,121599.09,
127045853.0,Riverside Beaver County SD,Beaver,79852.18,22455.44,204388.42,0.0,201470.23,,328426.77,,282050.67,,1103.94
127046903.0,Rochester Area SD,Beaver,,540724.4,532845.69,0.0,663252.96,108471.21,192505.05,,219706.7,55597.66,975.0
127047404.0,South Side Area SD,Beaver,83200.9,725166.13,131736.5,14153.57,2571.19,26522.76,342882.62,25525.42,21151.15,23244.0,
127049303.0,Western Beaver County SD,Beaver,,253846.05,219365.02,248835.41,288221.08,99759.81,280861.38,,56425.95,56977.0,
108051003.0,Bedford Area SD,Bedford,911789.45,1471274.4,390211.68,321319.83,113669.26,,567494.97,,,25588.24,
108051503.0,Chestnut Ridge SD,Bedford,146270.82,146802.2,392493.34,55148.1,353399.14,,217213.45,,172072.81,34483.88,
108053003.0,Everett Area SD,Bedford,143946.45,,358362.33,,339492.25,,466849.5,,,46213.11,
108056004.0,Northern Bedford County SD,Bedford,392031.09,,217556.3,,57836.16,,104474.36,,,,7551.29
108058003.0,Tussey Mountain SD,Bedford,74006.67,,283528.16,,186850.47,,142422.82,,,95873.29,
114060503.0,Antietam SD,Berks,138959.5,,239025.68,,326004.9,498153.02,388811.56,,,36564.9,354300.0
114060753.0,Boyertown Area SD,Berks,23738.38,,2481327.94,,2795430.87,31629.6,2039002.06,,1215209.24,13226.36,
114060853.0,Brandywine Heights Area SD,Berks,89751.92,371367.85,225508.46,481864.87,298383.52,381927.94,605062.18,,142406.91,21363.63,11976.75
114061103.0,Conrad Weiser Area SD,Berks,88200.13,,921383.19,,302744.04,1193112.6,832891.73,,100873.9,16028.0,
114061503.0,Daniel Boone Area SD,Berks,240957.36,,937283.44,,988273.5,1430266.75,1039994.34,,371513.47,3024.21,4358.11
114062003.0,Exeter Township SD,Berks,153533.86,,565977.7,,1004611.08,1413993.9,1251981.65,,48728.14,14381.99,
114062503.0,Fleetwood Area SD,Berks,43746.9,,568308.24,,479700.07,85.47,1153610.59,,1396943.19,68758.18,
114063003.0,Governor Mifflin SD,Berks,81727.34,,603867.71,,607872.48,3238190.72,1526750.14,,243130.34,44796.18,
114063503.0,Hamburg Area SD,Berks,114738.69,72136.12,901177.6,113418.57,693953.62,1532273.29,951681.66,21044.5,73927.3,32275.1,
114064003.0,Kutztown Area SD,Berks,15359.92,664193.11,577715.9,234380.7,592443.74,338378.54,633319.09,,28105.26,4255.52,120320.0
114065503.0,Muhlenberg SD,Berks,50224.45,,575621.41,,636064.19,1072413.37,2265541.99,,104940.6,165290.44,
114066503.0,Oley Valley SD,Berks,3692.0,,396105.96,,437511.48,1410078.59,756427.28,3321.0,41157.24,,148771.0
114067002.0,Reading SD,Berks,806658.97,36490.0,6398253.0,146414.0,8693951.0,11790084.41,5694831.29,89496.97,810820.63,184651.42,
114067503.0,Schuylkill Valley SD,Berks,283864.53,,898893.79,,162.56,,748428.56,,70335.62,762201.37,
114068003.0,Tulpehocken Area SD,Berks,35727.62,,712127.38,,486998.94,314044.62,657315.84,,,14665.42,1213.75
114068103.0,Twin Valley SD,Berks,24558.2,,741400.0,,1377553.23,1140397.42,1362609.11,,307325.68,1156262.2,
114069103.0,Wilson SD,Berks,190546.23,,775559.43,,857302.81,2083465.15,1196887.02,,78462.5,56909.31,
114069353.0,Wyomissing Area SD,Berks,381307.44,,297649.27,,370582.44,2410.0,547592.59,1531.5,335805.66,135994.58,
108070502.0,Altoona Area SD,Blair,200684.41,,1812430.81,,1684177.15,1156196.14,2551993.29,,,63821.04,180.0
108071003.0,Bellwood-Antis SD,Blair,875.34,,250746.52,,264890.18,,394653.72,,,150250.67,
108071504.0,Claysburg-Kimmel SD,Blair,38658.5,,176413.6,,2207.72,75724.32,332948.16,,,17849.63,
108073503.0,Hollidaysburg Area SD,Blair,-0.01,,496850.22,,556143.25,,1373304.12,,40737.95,252032.48,285257.34
108077503.0,Spring Cove SD,Blair,5169.27,,510571.17,,335544.62,,570843.0,,,368532.54,
108078003.0,Tyrone Area SD,Blair,54310.98,140781.2,416400.78,86231.98,222979.98,,415923.72,,80296.23,,37593.6
108079004.0,Williamsburg Community SD,Blair,17023.28,11822.9,143481.43,188858.83,26314.95,,316246.25,,,9039.77,139800.0
117080503.0,Athens Area SD,Bradford,275883.65,,627402.66,,743732.46,,692073.49,,,,
117081003.0,Canton Area SD,Bradford,103694.44,,265663.73,,230645.38,,313049.82,1077.0,,200.0,
117083004.0,Northeast Bradford SD,Bradford,42877.96,,238932.52,,132355.58,,248661.0,,,,3010.0
117086003.0,Sayre Area SD,Bradford,24667.16,,325984.87,,395634.59,14878.42,329958.0,,18355.85,219300.62,
117086503.0,Towanda Area SD,Bradford,71078.89,,427928.78,,230965.8,,491867.1,,,,140144.0
117086653.0,Troy Area SD,Bradford,318172.15,,368526.89,,309915.99,,459706.1,,,,
117089003.0,Wyalusing Area SD,Bradford,737.0,,550320.44,,218213.74,,422248.25,,48267.56,72388.69,137014.0
122091002.0,Bensalem Township SD,Bucks,25866.0,11867400.01,1709668.65,4059455.09,1100504.43,2049102.23,4645202.51,,428153.62,24051.15,
122091303.0,Bristol Borough SD,Bucks,12010.07,298278.76,695983.78,127833.76,298278.76,294290.78,857975.88,,349646.78,,
122091352.0,Bristol Township SD,Bucks,233693.38,2336145.35,1927741.43,3096750.81,2006424.75,3480414.53,6356626.0,20625.0,817923.29,21135.13,
122092002.0,Centennial SD,Bucks,3994.52,331926.1,903640.69,135742.66,776042.43,2980607.51,3096952.08,,276768.86,3898.33,
122092102.0,Central Bucks SD,Bucks,34607.66,76300.0,2430782.65,31545.0,1302352.85,2942083.16,5309803.02,-1173.0,259085.82,8916.62,1125849.59
122092353.0,Council Rock SD,Bucks,49131.89,134684.45,1299071.45,375553.02,1142396.99,1110324.78,1783345.12,,606845.96,4666.74,239482.67
122097203.0,Morrisville Borough SD,Bucks,321984.0,647462.0,916833.0,28751.0,364107.0,,743927.0,,44853.0,72825.0,
122097502.0,Neshaminy SD,Bucks,124300.59,,2243902.99,,1452633.63,2132735.69,5208880.04,162564.58,484970.25,158675.06,147046.51
122097604.0,New Hope-Solebury SD,Bucks,,,209642.62,,0.0,,686408.09,,26387.47,,539325.78
122098003.0,Palisades SD,Bucks,107958.36,514402.75,894124.32,50700.23,481531.98,143593.0,974089.58,7500.0,114406.88,66987.06,106817.28
122098103.0,Pennridge SD,Bucks,150201.45,303803.0,1290201.86,27798.0,919910.6,1667161.9,3573375.0,,230298.44,3546.62,
122098202.0,Pennsbury SD,Bucks,310813.93,2154800.84,1193985.67,1517352.61,1324885.05,4050027.55,5261146.0,,399289.27,226638.2,54500.5
122098403.0,Quakertown Community SD,Bucks,360604.8,461004.35,2173675.28,293653.47,1283655.62,189330.17,3810876.96,,211421.47,268271.67,160851.32
104101252.0,Butler Area SD,Butler,206468.42,226396.79,2167290.46,125805.55,1980741.13,1621696.36,1850662.21,43695.0,1209800.59,73678.65,
104103603.0,Karns City Area SD,Butler,,,552726.99,,0.0,,536316.79,,62.76,,
104107803.0,Knoch SD,Butler,90180.74,,597860.28,,617814.43,,567861.31,,50180.62,358081.41,
104105003.0,Mars Area SD,Butler,43546.94,52327.75,575816.92,77319.6,685944.48,719059.09,245369.89,,258007.15,14184.79,35286.57
104105353.0,Moniteau SD,Butler,247361.89,,405949.94,,195939.89,413001.76,246062.29,,42294.52,831.36,
104107903.0,Seneca Valley SD,Butler,11738.57,219383.19,915573.46,126732.28,666380.31,1990201.57,646292.63,,907773.13,37865.87,
104107503.0,Slippery Rock Area SD,Butler,190996.0,,646514.0,,743886.0,,384012.0,,258349.0,,
108110603.0,Blacklick Valley SD,Cambria,43006.61,,225835.45,,289904.22,,417694.86,,104567.43,392999.12,149661.33
108111203.0,Cambria Heights SD,Cambria,69914.39,,416056.47,,71951.97,,519523.38,,,,
108111303.0,Central Cambria SD,Cambria,152465.53,,445223.81,,269248.07,,605234.29,,42078.28,,
108111403.0,Conemaugh Valley SD,Cambria,205702.4,,493270.75,,0.0,,313557.2,,,,
108112003.0,Ferndale Area SD,Cambria,68869.81,,311341.76,,196482.15,,370721.92,,,,
108112203.0,Forest Hills SD,Cambria,38644.98,,135103.92,,132348.54,118380.73,784795.63,,,79230.63,
108112502.0,Greater Johnstown SD,Cambria,682989.94,,2147659.15,,2693041.61,,123984.49,111176.0,97143.54,34432.15,526989.65
108114503.0,Northern Cambria SD,Cambria,74224.33,,613196.96,,478481.0,,271904.63,,,,
108116003.0,Penn Cambria SD,Cambria,4383.06,,334356.15,,246675.01,,899471.19,13113.0,,13894.76,383380.46
108116303.0,Portage Area SD,Cambria,10336.25,,327586.85,,64107.9,,491969.06,,,3506.65,
108116503.0,Richland SD,Cambria,62770.76,,234291.7,,183964.96,,564365.3,,145560.5,14731.94,
108118503.0,Westmont Hilltop SD,Cambria,4019.62,,594049.34,,445657.61,292521.88,461093.56,,,,
109122703.0,Cameron County SD,Cameron,32146.0,,309941.0,,339259.0,,208342.0,,73596.0,9143.0,
121135003.0,Jim Thorpe Area SD,Carbon,64093.19,,1875482.0,,1947687.0,1823523.94,1402208.0,218345.0,,141556.11,
121135503.0,Lehighton Area SD,Carbon,89397.05,,1317773.43,,1207852.62,170066.35,1626403.54,238546.0,-17834.04,30983.3,
121136503.0,Palmerton Area SD,Carbon,110071.84,14531.71,1006294.45,0.0,1109290.46,1358454.34,2203462.34,197713.0,,,
121136603.0,Panther Valley SD,Carbon,23272.19,,2491729.57,,0.0,,1375977.5,131922.71,,4107500.58,
121139004.0,Weatherly Area SD,Carbon,21129.24,,441681.47,,321056.75,,304800.0,,,864700.18,
110141003.0,Bald Eagle Area SD,Centre,133930.81,266744.63,277758.64,417322.52,304040.06,411948.0,1526129.7,,,54995.14,
110141103.0,Bellefonte Area SD,Centre,76247.56,1346632.56,593307.59,1083234.77,613963.32,77500.0,2167299.72,,,29406.4,
110147003.0,Penns Valley Area SD,Centre,3495.54,413606.06,494985.81,349342.89,303865.6,,823797.46,,,258703.5,
110148002.0,State College Area SD,Centre,71705.8,3143478.17,802914.82,1331812.17,478521.25,,98507.5,,48065.91,31621.78,1479056.8
124150503.0,Avon Grove SD,Chester,69782.8,6001363.66,816579.62,2548586.86,470938.52,148284.6,154175.77,,308286.35,14928.02,
124151902.0,Coatesville Area SD,Chester,304266.5,33646607.63,3061766.96,24545214.15,2074084.08,351236.23,3166988.0,86963.0,3152018.28,27935.94,891000.0
124152003.0,Downingtown Area SD,Chester,83467.13,3034639.7,1267289.03,1378956.27,613525.31,525030.75,3009423.0,108114.9,428017.18,22084.98,122815.1
124153503.0,Great Valley SD,Chester,551.92,407916.43,861088.93,234739.29,651431.53,387061.58,888753.35,,2273215.46,228234.78,682407.31
124154003.0,Kennett Consolidated SD,Chester,115059.79,1519560.48,407743.21,727299.49,159780.35,711442.9,1881543.35,3300.0,175740.59,,
124156503.0,Octorara Area SD,Chester,178349.65,1591369.94,666156.83,888709.63,615304.51,,862000.0,47177.0,271901.5,446791.54,
124156603.0,Owen J Roberts SD,Chester,110909.3,815074.79,834759.19,355840.27,1091098.0,519855.08,1072328.0,5992.0,385447.46,,600.0
124156703.0,Oxford Area SD,Chester,84214.21,4419821.74,866040.47,2932535.63,1375603.29,543664.78,2510754.5,39940.0,308583.32,345679.83,
124157203.0,Phoenixville Area SD,Chester,84986.19,2983090.63,,1760201.13,,563078.13,855104.0,16750.0,240349.32,177521.33,309895.0
124157802.0,Tredyffrin-Easttown SD,Chester,139400.81,70967.85,591948.66,0.0,0.0,381328.85,782696.0,,1416766.5,1925448.95,
124158503.0,Unionville-Chadds Ford SD,Chester,162622.56,34155.29,535099.56,37497.18,212484.02,,844478.28,,57746.21,,122733.58
124159002.0,West Chester Area SD,Chester,359728.22,2573967.37,1932020.24,1745549.91,1260587.08,885667.88,2798230.86,,2739951.71,18218.15,500223.61
106160303.0,Allegheny-Clarion Valley SD,Clarion,3076.15,,879319.44,,0.0,,305543.33,,,290245.18,
106161203.0,Clarion Area SD,Clarion,209960.22,,261012.84,,233347.81,,118602.75,,0.0,3135.94,64175.46
106161703.0,Clarion-Limestone Area SD,Clarion,64133.17,,371039.03,,344131.4,,174511.01,,,17427.78,
106166503.0,Keystone SD,Clarion,81929.88,,515823.58,,119998.07,,546857.61,,28762.44,15378.38,
106167504.0,North Clarion County SD,Clarion,3232.64,,78894.0,,81092.01,,353138.62,,48537.68,,
106168003.0,Redbank Valley SD,Clarion,110532.87,,554105.98,,521911.61,122721.02,561640.87,,,16674.61,
106169003.0,Union SD,Clarion,35967.41,,509129.43,,219274.43,,421762.54,,,60737.71,120578.25
110171003.0,Clearfield Area SD,Clearfield,240291.17,38766.66,888659.63,31114.39,622211.99,,1271197.26,,,106509.87,1414483.12
110171803.0,Curwensville Area SD,Clearfield,105522.49,,260751.84,,129029.62,735131.5,576675.65,,,150965.42,
106172003.0,DuBois Area SD,Clearfield,673793.69,,677931.61,,929751.23,,3230653.36,,1938097.58,5452.6,
110173003.0,Glendale SD,Clearfield,89689.12,,280745.37,,305571.89,,256948.8,,,499566.46,
110173504.0,Harmony Area SD,Clearfield,,,19590.75,,31329.84,,133702.41,,,180.0,
110175003.0,Moshannon Valley SD,Clearfield,42906.99,,508336.95,,260995.78,900554.0,536197.73,,,88238.87,268.0
110177003.0,Philipsburg-Osceola Area SD,Clearfield,222419.47,340649.94,621196.25,135974.95,303638.2,201193.69,857226.72,,,39609.47,
110179003.0,West Branch Area SD,Clearfield,57256.35,,277408.5,,140103.87,803445.0,694259.74,,471.69,21602.53,
110183602.0,Keystone Central SD,Clinton,1544021.0,3664830.05,1757591.45,2613523.38,1134900.66,,,,131113.28,131.83,
116191004.0,Benton Area SD,Columbia,122899.52,,239492.31,,45000.0,,292662.06,,,,103402.0
116191103.0,Berwick Area SD,Columbia,226165.18,,1031687.12,,841373.68,,2711258.99,,703728.43,111605.86,760.0
116191203.0,Bloomsburg Area SD,Columbia,186550.2,,481291.96,,252870.3,,1173126.0,103842.97,,38654.0,405012.0
116191503.0,Central Columbia SD,Columbia,36068.57,,694016.21,,0.0,,1706518.99,,,,
116195004.0,Millville Area SD,Columbia,208751.76,,231277.38,,33150.28,,458650.02,,,,169255.5
116197503.0,Southern Columbia Area SD,Columbia,110584.32,,501026.11,,0.0,,858834.0,1535.0,,,
105201033.0,Conneaut SD,Crawford,41355.54,,893584.83,,562237.17,,1342542.34,,57371.58,140678.22,
105201352.0,Crawford Central SD,Crawford,431189.43,,2403838.35,,1336077.0,,1588035.44,,436117.55,,
105204703.0,Penncrest SD,Crawford,54681.4,,1038814.49,,633578.24,,1632228.0,,142928.62,,
115210503.0,Big Spring SD,Cumberland,399562.62,62083.92,1823427.99,0.0,2073367.08,2988790.8,776542.22,,92306.67,144061.78,
115211003.0,Camp Hill SD,Cumberland,635260.21,,369507.38,,250813.28,,120304.0,76385.0,48537.58,,
115211103.0,Carlisle Area SD,Cumberland,404887.82,,2275754.53,,1500755.75,,,206794.0,1492031.99,858019.32,4573013.4
115211603.0,Cumberland Valley SD,Cumberland,117375.0,416650.0,5235529.0,0.0,0.0,1709505.0,858126.0,477512.0,81846.0,,59008.0
115212503.0,East Pennsboro Area SD,Cumberland,1087003.04,196335.77,1787366.79,46371.03,1384642.82,,405136.0,188195.0,,,
115216503.0,Mechanicsburg Area SD,Cumberland,370138.71,97541.88,1686887.85,0.0,1888498.86,,389936.2,225392.0,90662.76,15213.05,
115218003.0,Shippensburg Area SD,Cumberland,295516.85,0.0,1380744.3,31466.26,1109342.99,1431421.59,974881.94,135119.46,,94218.5,25797.9
115218303.0,South Middleton SD,Cumberland,189983.83,,761105.74,,838636.73,1293704.86,448249.0,84134.0,,2483.75,192550.0
115221402.0,Central Dauphin SD,Dauphin,772278.5,3056182.6,5412035.53,494305.64,4622184.63,,7233516.0,1017584.0,126195.5,4073746.87,
115221753.0,Derry Township SD,Dauphin,21206.6,,954276.4,,755807.42,,523448.53,135944.0,102255.18,,
115222504.0,Halifax Area SD,Dauphin,64650.47,,666930.13,,317633.16,137400.03,836158.0,63322.0,391427.83,15731.65,
115222752.0,Harrisburg City SD,Dauphin,3612125.81,5826710.78,6603309.34,4477302.07,4958664.61,2909006.43,3723540.6,441900.0,247045.06,200757.24,
115224003.0,Lower Dauphin SD,Dauphin,461605.42,76196.98,979027.37,30121.82,820222.83,245670.5,1126148.51,186867.0,100888.44,312005.3,
115226003.0,Middletown Area SD,Dauphin,102722.41,119526.19,1332103.41,57493.96,1254957.18,,1097977.55,143029.0,75666.33,105485.53,
115226103.0,Millersburg Area SD,Dauphin,78525.87,,1062652.23,,428789.49,295449.8,181799.91,45610.0,,884.19,
115228003.0,Steelton-Highspire SD,Dauphin,76464.0,231132.0,2265284.0,59735.0,1475660.0,84370.0,473797.0,95544.0,,349364.0,435405.0
115228303.0,Susquehanna Township SD,Dauphin,287340.51,352483.71,2060761.9,202708.27,1185114.27,,1939357.57,260374.0,1324682.06,53662.24,2105.87
115229003.0,Upper Dauphin Area SD,Dauphin,147839.3,,685288.3,,797888.99,593454.67,103513.94,54909.0,,,111762.0
125231232.0,Chester-Upland SD,Delaware,484622.33,29741423.9,3363450.62,22872825.06,10159971.45,110201.0,470935.77,,2781643.07,65744.32,
125231303.0,Chichester SD,Delaware,98074.26,1368746.38,1299114.71,1407686.06,1586613.96,65653.2,946957.94,,536251.81,18555.32,
125234103.0,Garnet Valley SD,Delaware,,,278072.88,,206052.64,,515883.4,216375.75,1109081.13,43937.87,942817.04
125234502.0,Haverford Township SD,Delaware,61340.93,,353810.19,,212018.75,1405816.52,973250.08,1385275.0,2399000.85,14110.78,
125235103.0,Interboro SD,Delaware,31362.82,288775.02,504251.47,243660.09,352131.65,721211.74,827588.0,396755.0,739246.34,46334.49,77895.64
125235502.0,Marple Newtown SD,Delaware,52148.35,,345926.93,,514484.27,3704289.34,420567.25,5850.0,405205.24,,
125236903.0,Penn-Delco SD,Delaware,54422.45,142382.27,614281.08,108144.19,608105.02,964397.3,825041.05,7264.8,586588.79,22191.09,95096.51
125237603.0,Radnor Township SD,Delaware,5359.48,36209.86,162116.19,0.0,102219.65,3033262.28,653283.89,1228186.0,468851.24,,
125237702.0,Ridley SD,Delaware,33232.18,274550.7,1220587.2,256592.95,620978.65,1378296.27,1319813.71,716710.0,1246132.37,549589.18,
125237903.0,Rose Tree Media SD,Delaware,26656.16,,770144.19,,499964.21,240771.82,360011.0,1234036.0,1260940.15,15396.0,
125238402.0,Southeast Delco SD,Delaware,,,,,,,,,,,
125238502.0,Springfield SD,Delaware,112622.52,66984.26,284223.98,12880.75,144279.95,246492.0,778754.0,611089.0,1439961.95,,366974.84
