Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic,% Advanced/Proficient
2023,NEW OXFORD SHS,Biology,White (not Hispanic),11,221,18.1,47.1,25.3,9.5,65.2
2023,NEW OXFORD SHS,Biology,Hispanic (any race),11,49,16.3,18.4,36.7,28.6,34.7
2023,NEW OXFORD SHS,Biology,IEP,11,34,0,14.7,26.5,58.8,14.7
2023,NEW OXFORD SHS,Biology,Economically Disadvantaged,11,110,5.5,40.9,35.5,18.2,46.4
2023,NEW OXFORD SHS,Literature,All Students,11,288,5.2,54.5,26.7,13.5,59.7
2023,NEW OXFORD SHS,Literature,White (not Hispanic),11,219,5.5,56.6,26.5,11.4,62.1
2023,NEW OXFORD SHS,Literature,Hispanic (any race),11,52,5.8,38.5,32.7,23.1,44.2
2023,NEW OXFORD SHS,Literature,Multi-Racial (not Hispanic),11,11,0,63.6,18.2,18.2,63.6
2023,NEW OXFORD SHS,Literature,IEP,11,33,0,3,27.3,69.7,3
2023,NEW OXFORD SHS,Literature,Economically Disadvantaged,11,110,1.8,48.2,32.7,17.3,50
2023,FAIRFIELD AREA HS,Algebra I,All Students,11,55,7.3,14.5,41.8,36.4,21.8
2023,FAIRFIELD AREA HS,Algebra I,White (not Hispanic),11,51,7.8,13.7,41.2,37.3,21.6
2023,FAIRFIELD AREA HS,Algebra I,Economically Disadvantaged,11,15,13.3,6.7,40,40,20
2023,FAIRFIELD AREA HS,Biology,All Students,11,67,4.5,34.3,35.8,25.4,38.8
2023,FAIRFIELD AREA HS,Biology,White (not Hispanic),11,63,4.8,36.5,33.3,25.4,41.3
2023,FAIRFIELD AREA HS,Biology,Economically Disadvantaged,11,16,0,25,37.5,37.5,25
2023,FAIRFIELD AREA HS,Literature,All Students,11,69,2.9,40.6,39.1,17.4,43.5
2023,FAIRFIELD AREA HS,Literature,White (not Hispanic),11,65,3.1,40,38.5,18.5,43.1
2023,FAIRFIELD AREA HS,Literature,Economically Disadvantaged,11,17,5.9,23.5,58.8,11.8,29.4
2023,GETTYSBURG AREA HS,Algebra I,All Students,11,207,13.5,30,37.2,19.3,43.5
2023,GETTYSBURG AREA HS,Algebra I,White (not Hispanic),11,151,16.6,30.5,34.4,18.5,47
2023,GETTYSBURG AREA HS,Algebra I,Hispanic (any race),11,40,7.5,27.5,45,20,35
2023,GETTYSBURG AREA HS,Algebra I,IEP,11,40,0,2.5,32.5,65,2.5
2023,GETTYSBURG AREA HS,Algebra I,Economically Disadvantaged,11,79,6.3,24.1,41.8,27.8,30.4
2023,GETTYSBURG AREA HS,Biology,All Students,11,240,27.5,34.2,24.2,14.2,61.7
2023,GETTYSBURG AREA HS,Biology,White (not Hispanic),11,182,31.3,35.2,21.4,12.1,66.5
2023,GETTYSBURG AREA HS,Biology,Hispanic (any race),11,41,12.2,29.3,36.6,22,41.5
2023,GETTYSBURG AREA HS,Biology,IEP,11,42,4.8,11.9,35.7,47.6,16.7
2023,GETTYSBURG AREA HS,Biology,Economically Disadvantaged,11,89,14.6,29.2,32.6,23.6,43.8
2023,GETTYSBURG AREA HS,Literature,All Students,11,243,11.1,56.4,22.6,9.9,67.5
2023,GETTYSBURG AREA HS,Literature,White (not Hispanic),11,185,13,57.8,22.7,6.5,70.8
2023,GETTYSBURG AREA HS,Literature,Hispanic (any race),11,42,0,54.8,26.2,19,54.8
2023,GETTYSBURG AREA HS,Literature,IEP,11,42,0,19,35.7,45.2,19
2023,GETTYSBURG AREA HS,Literature,Economically Disadvantaged,11,91,3.3,48.4,29.7,18.7,51.6
2023,LITTLESTOWN SHS,Algebra I,All Students,11,103,27.2,53.4,17.5,1.9,80.6
2023,LITTLESTOWN SHS,Algebra I,White (not Hispanic),11,89,28.1,52.8,18,1.1,80.9
2023,LITTLESTOWN SHS,Algebra I,Economically Disadvantaged,11,29,13.8,48.3,34.5,3.4,62.1
2023,LITTLESTOWN SHS,Biology,All Students,11,137,35.8,44.5,13.9,5.8,80.3
2023,LITTLESTOWN SHS,Biology,White (not Hispanic),11,119,37,43.7,14.3,5,80.7
2023,LITTLESTOWN SHS,Biology,Economically Disadvantaged,11,38,18.4,42.1,26.3,13.2,60.5
2023,BIGLERVILLE HS,Algebra I,All Students,11,68,0,16.2,61.8,22.1,16.2
2023,BIGLERVILLE HS,Algebra I,White (not Hispanic),11,40,0,20,65,15,20
2023,BIGLERVILLE HS,Algebra I,Hispanic (any race),11,27,0,11.1,59.3,29.6,11.1
2023,BIGLERVILLE HS,Algebra I,IEP,11,12,0,0,50,50,0
2023,BIGLERVILLE HS,Algebra I,Economically Disadvantaged,11,35,0,17.1,57.1,25.7,17.1
2023,BIGLERVILLE HS,Biology,All Students,11,101,24.8,29.7,32.7,12.9,54.5
2023,BIGLERVILLE HS,Biology,White (not Hispanic),11,66,31.8,31.8,25.8,10.6,63.6
2023,BIGLERVILLE HS,Biology,Hispanic (any race),11,33,12.1,24.2,48.5,15.2,36.4
2023,BIGLERVILLE HS,Biology,IEP,11,11,0,9.1,36.4,54.5,9.1
2023,BIGLERVILLE HS,Biology,ELL,11,13,0,7.7,61.5,30.8,7.7
2023,BIGLERVILLE HS,Biology,Economically Disadvantaged,11,42,19,21.4,45.2,14.3,40.5
2023,BIGLERVILLE HS,Literature,All Students,11,99,4,59.6,29.3,7.1,63.6
2023,BIGLERVILLE HS,Literature,White (not Hispanic),11,66,6.1,65.2,22.7,6.1,71.2
2023,BIGLERVILLE HS,Literature,Hispanic (any race),11,31,0,48.4,45.2,6.5,48.4
2023,BIGLERVILLE HS,Literature,IEP,11,11,0,0,45.5,54.5,0
2023,BIGLERVILLE HS,Literature,ELL,11,12,0,33.3,58.3,8.3,33.3
2023,BIGLERVILLE HS,Literature,Economically Disadvantaged,11,40,0,57.5,35,7.5,57.5
2023,SPRINGDALE JSHS,Algebra I,All Students,11,30,6.7,16.7,43.3,33.3,23.3
2023,SPRINGDALE JSHS,Algebra I,White (not Hispanic),11,28,7.1,14.3,42.9,35.7,21.4
2023,SPRINGDALE JSHS,Algebra I,Economically Disadvantaged,11,11,0,0,45.5,54.5,0
2023,SPRINGDALE JSHS,Biology,All Students,11,50,12,38,34,16,50
2023,SPRINGDALE JSHS,Biology,White (not Hispanic),11,45,13.3,37.8,35.6,13.3,51.1
2023,SPRINGDALE JSHS,Biology,Economically Disadvantaged,11,17,5.9,35.3,41.2,17.6,41.2
2023,SPRINGDALE JSHS,Literature,All Students,11,55,9.1,69.1,18.2,3.6,78.2
2023,SPRINGDALE JSHS,Literature,White (not Hispanic),11,50,10,70,16,4,80
2023,SPRINGDALE JSHS,Literature,Economically Disadvantaged,11,18,11.1,50,38.9,0,61.1
2023,AVONWORTH HS,Algebra I,All Students,11,51,13.7,21.6,49,15.7,35.3
2023,AVONWORTH HS,Algebra I,White (not Hispanic),11,45,15.6,22.2,46.7,15.6,37.8
2023,AVONWORTH HS,Biology,All Students,11,141,16.3,36.9,36.9,9.9,53.2
2023,AVONWORTH HS,Biology,White (not Hispanic),11,124,16.9,39.5,37.1,6.5,56.5
2023,AVONWORTH HS,Biology,IEP,11,16,0,31.3,56.3,12.5,31.3
2023,AVONWORTH HS,Biology,Economically Disadvantaged,11,22,18.2,13.6,45.5,22.7,31.8
2023,AVONWORTH HS,Literature,All Students,11,152,13.8,72.4,13.2,0.7,86.2
2023,AVONWORTH HS,Literature,White (not Hispanic),11,132,14.4,72,12.9,0.8,86.4
2023,AVONWORTH HS,Literature,IEP,11,17,11.8,35.3,47.1,5.9,47.1
2023,AVONWORTH HS,Literature,Economically Disadvantaged,11,22,4.5,63.6,31.8,0,68.2
2023,BALDWIN SHS,Algebra I,All Students,11,268,9.7,26.1,50.7,13.4,35.8
2023,BALDWIN SHS,Algebra I,White (not Hispanic),11,189,12.2,26.5,52.9,8.5,38.6
2023,BALDWIN SHS,Algebra I,Black or African American (not Hispanic),11,15,0,20,53.3,26.7,20
2023,BALDWIN SHS,Algebra I,Asian (not Hispanic),11,48,4.2,27.1,41.7,27.1,31.3
2023,BALDWIN SHS,Algebra I,IEP,11,35,0,11.4,51.4,37.1,11.4
2023,BALDWIN SHS,Algebra I,ELL,11,19,0,5.3,31.6,63.2,5.3
2023,BALDWIN SHS,Algebra I,Economically Disadvantaged,11,123,4.1,22.8,51.2,22,26.8
2023,BALDWIN SHS,Biology,All Students,11,339,15.3,40.1,30.4,14.2,55.5
2023,BALDWIN SHS,Biology,White (not Hispanic),11,251,18.7,41.4,31.1,8.8,60.2
2023,BALDWIN SHS,Biology,Black or African American (not Hispanic),11,19,0,36.8,21.1,42.1,36.8
2023,BALDWIN SHS,Biology,Asian (not Hispanic),11,51,7.8,35.3,31.4,25.5,43.1
2023,BALDWIN SHS,Biology,IEP,11,34,2.9,20.6,32.4,44.1,23.5
2023,BALDWIN SHS,Biology,ELL,11,18,0,16.7,11.1,72.2,16.7
2023,BALDWIN SHS,Biology,Economically Disadvantaged,11,139,7.9,31.7,34.5,25.9,39.6
2023,BALDWIN SHS,Literature,All Students,11,334,9,62,22.5,6.6,71
2023,BALDWIN SHS,Literature,White (not Hispanic),11,246,11,65.9,19.1,4.1,76.8
2023,BALDWIN SHS,Literature,Black or African American (not Hispanic),11,19,5.3,47.4,31.6,15.8,52.6
2023,BALDWIN SHS,Literature,Asian (not Hispanic),11,51,3.9,49,31.4,15.7,52.9
2023,BALDWIN SHS,Literature,IEP,11,35,0,28.6,48.6,22.9,28.6
2023,BALDWIN SHS,Literature,ELL,11,19,0,15.8,36.8,47.4,15.8
2023,BALDWIN SHS,Literature,Economically Disadvantaged,11,136,2.2,55.1,28.7,14,57.4
2023,BETHEL PARK HS,Algebra I,All Students,11,216,23.6,22.2,42.1,12,45.8
2023,BETHEL PARK HS,Algebra I,White (not Hispanic),11,195,23.1,22.1,42.1,12.8,45.1
2023,BETHEL PARK HS,Algebra I,IEP,11,36,0,8.3,52.8,38.9,8.3
2023,BETHEL PARK HS,Algebra I,Economically Disadvantaged,11,49,16.3,16.3,42.9,24.5,32.7
2023,BETHEL PARK HS,Biology,All Students,11,303,32.3,35.3,24.1,8.3,67.7
2023,BETHEL PARK HS,Biology,White (not Hispanic),11,278,32.4,35.3,24.1,8.3,67.6
2023,BETHEL PARK HS,Biology,Asian (not Hispanic),11,11,36.4,36.4,18.2,9.1,72.7
2023,BETHEL PARK HS,Biology,IEP,11,39,7.7,10.3,43.6,38.5,17.9
2023,BETHEL PARK HS,Biology,Economically Disadvantaged,11,61,24.6,26.2,36.1,13.1,50.8
2023,BETHEL PARK HS,Literature,All Students,11,307,12.7,66.1,17.3,3.9,78.8
2023,BETHEL PARK HS,Literature,White (not Hispanic),11,281,13.5,65.5,17.4,3.6,79
2023,BETHEL PARK HS,Literature,Asian (not Hispanic),11,11,0,72.7,18.2,9.1,72.7
2023,BETHEL PARK HS,Literature,IEP,11,43,0,34.9,44.2,20.9,34.9
2023,BETHEL PARK HS,Literature,Economically Disadvantaged,11,64,9.4,50,31.3,9.4,59.4
2023,BRENTWOOD SHS,Algebra I,All Students,11,55,3.6,16.4,52.7,27.3,20
2023,BRENTWOOD SHS,Algebra I,White (not Hispanic),11,39,0,17.9,51.3,30.8,17.9
2023,BRENTWOOD SHS,Algebra I,IEP,11,18,0,5.6,38.9,55.6,5.6
2023,BRENTWOOD SHS,Algebra I,Economically Disadvantaged,11,38,5.3,10.5,55.3,28.9,15.8
2023,BRENTWOOD SHS,Biology,All Students,11,83,18.1,31.3,31.3,19.3,49.4
2023,BRENTWOOD SHS,Biology,White (not Hispanic),11,62,16.1,27.4,35.5,21,43.5
2023,BRENTWOOD SHS,Biology,IEP,11,17,5.9,5.9,23.5,64.7,11.8
2023,BRENTWOOD SHS,Biology,Economically Disadvantaged,11,49,14.3,30.6,28.6,26.5,44.9
2023,BRENTWOOD SHS,Literature,All Students,11,82,4.9,54.9,26.8,13.4,59.8
2023,BRENTWOOD SHS,Literature,White (not Hispanic),11,61,6.6,50.8,27.9,14.8,57.4
2023,BRENTWOOD SHS,Literature,IEP,11,18,0,11.1,44.4,44.4,11.1
2023,BRENTWOOD SHS,Literature,Economically Disadvantaged,11,50,2,50,28,20,52
2023,CARLYNTON JSHS,Algebra I,All Students,11,49,6.1,16.3,51,26.5,22.4
2023,CARLYNTON JSHS,Algebra I,White (not Hispanic),11,34,8.8,17.6,55.9,17.6,26.5
2023,CARLYNTON JSHS,Algebra I,IEP,11,12,0,0,41.7,58.3,0
2023,CARLYNTON JSHS,Algebra I,Economically Disadvantaged,11,30,0,20,50,30,20
2023,CARLYNTON JSHS,Biology,All Students,11,73,9.6,50.7,26,13.7,60.3
2023,CARLYNTON JSHS,Biology,White (not Hispanic),11,53,13.2,50.9,24.5,11.3,64.2
2023,CARLYNTON JSHS,Biology,IEP,11,14,0,21.4,28.6,50,21.4
2023,CARLYNTON JSHS,Biology,Economically Disadvantaged,11,40,7.5,45,30,17.5,52.5
2023,CARLYNTON JSHS,Literature,All Students,11,76,7.9,67.1,17.1,7.9,75
2023,CARLYNTON JSHS,Literature,White (not Hispanic),11,55,10.9,72.7,10.9,5.5,83.6
2023,CARLYNTON JSHS,Literature,Black or African American (not Hispanic),11,11,0,27.3,54.5,18.2,27.3
2023,CARLYNTON JSHS,Literature,IEP,11,15,0,33.3,33.3,33.3,33.3
2023,CARLYNTON JSHS,Literature,Economically Disadvantaged,11,44,4.5,65.9,20.5,9.1,70.5
2023,CHARTIERS VALLEY HS,Algebra I,All Students,11,146,14.4,16.4,31.5,37.7,30.8
2023,CHARTIERS VALLEY HS,Algebra I,White (not Hispanic),11,124,14.5,17.7,32.3,35.5,32.3
2023,CHARTIERS VALLEY HS,Algebra I,IEP,11,28,0,3.6,21.4,75,3.6
2023,CHARTIERS VALLEY HS,Algebra I,Economically Disadvantaged,11,47,2.1,12.8,36.2,48.9,14.9
2023,CHARTIERS VALLEY HS,Biology,All Students,11,192,17.7,22.9,29.2,30.2,40.6
2023,CHARTIERS VALLEY HS,Biology,White (not Hispanic),11,163,18.4,22.1,28.8,30.7,40.5
2023,CHARTIERS VALLEY HS,Biology,IEP,11,28,0,0,25,75,0
2023,CHARTIERS VALLEY HS,Biology,Economically Disadvantaged,11,58,6.9,20.7,32.8,39.7,27.6
2023,CHARTIERS VALLEY HS,Literature,All Students,11,194,3.1,51.5,28.4,17,54.6
2023,CHARTIERS VALLEY HS,Literature,White (not Hispanic),11,169,3,50.3,30.8,16,53.3
2023,CHARTIERS VALLEY HS,Literature,IEP,11,31,0,9.7,19.4,71,9.7
2023,CHARTIERS VALLEY HS,Literature,Economically Disadvantaged,11,55,1.8,40,27.3,30.9,41.8
2023,CITY CHS,Algebra I,All Students,11,81,1.2,14.8,58,25.9,16
2023,CITY CHS,Algebra I,White (not Hispanic),11,22,4.5,31.8,40.9,22.7,36.4
2023,CITY CHS,Algebra I,Black or African American (not Hispanic),11,48,0,2.1,68.8,29.2,2.1
2023,CITY CHS,Algebra I,IEP,11,18,0,0,61.1,38.9,0
2023,CITY CHS,Algebra I,Economically Disadvantaged,11,53,0,15.1,56.6,28.3,15.1
2023,CITY CHS,Biology,All Students,11,94,1.1,18.1,33,47.9,19.1
2023,CITY CHS,Biology,White (not Hispanic),11,27,3.7,22.2,40.7,33.3,25.9
2023,CITY CHS,Biology,Black or African American (not Hispanic),11,52,0,9.6,30.8,59.6,9.6
2023,CITY CHS,Biology,Multi-Racial (not Hispanic),11,11,0,45.5,18.2,36.4,45.5
2023,CITY CHS,Biology,IEP,11,19,0,0,42.1,57.9,0
2023,CITY CHS,Biology,Economically Disadvantaged,11,56,1.8,12.5,32.1,53.6,14.3
2023,CITY CHS,Literature,All Students,11,95,2.1,54.7,30.5,12.6,56.8
2023,CITY CHS,Literature,White (not Hispanic),11,27,7.4,55.6,29.6,7.4,63
2023,CITY CHS,Literature,Black or African American (not Hispanic),11,53,0,47.2,35.8,17,47.2
2023,CITY CHS,Literature,Multi-Racial (not Hispanic),11,11,0,81.8,9.1,9.1,81.8
2023,CITY CHS,Literature,IEP,11,19,0,21.1,52.6,26.3,21.1
2023,CITY CHS,Literature,Economically Disadvantaged,11,57,1.8,52.6,33.3,12.3,54.4
2023,CLAIRTON MS/HS,Algebra I,All Students,11,47,2.1,10.6,61.7,25.5,12.8
2023,CLAIRTON MS/HS,Algebra I,Black or African American (not Hispanic),11,36,0,13.9,63.9,22.2,13.9
2023,CLAIRTON MS/HS,Algebra I,Economically Disadvantaged,11,41,0,12.2,63.4,24.4,12.2
2023,CLAIRTON MS/HS,Biology,All Students,11,51,3.9,7.8,47.1,41.2,11.8
2023,CLAIRTON MS/HS,Biology,Black or African American (not Hispanic),11,38,0,7.9,55.3,36.8,7.9
2023,CLAIRTON MS/HS,Biology,Economically Disadvantaged,11,45,2.2,8.9,44.4,44.4,11.1
2023,CLAIRTON MS/HS,Literature,All Students,11,51,3.9,51,25.5,19.6,54.9
2023,CLAIRTON MS/HS,Literature,Black or African American (not Hispanic),11,38,0,57.9,26.3,15.8,57.9
2023,CLAIRTON MS/HS,Literature,Economically Disadvantaged,11,45,2.2,53.3,26.7,17.8,55.6
2023,CORNELL HS,Biology,All Students,11,33,0,21.2,48.5,30.3,21.2
2023,CORNELL HS,Biology,White (not Hispanic),11,18,0,22.2,61.1,16.7,22.2
2023,CORNELL HS,Biology,Economically Disadvantaged,11,32,0,21.9,50,28.1,21.9
2023,CORNELL HS,Literature,All Students,11,33,0,39.4,45.5,15.2,39.4
2023,CORNELL HS,Literature,White (not Hispanic),11,18,0,44.4,44.4,11.1,44.4
2023,CORNELL HS,Literature,Economically Disadvantaged,11,32,0,40.6,43.8,15.6,40.6
2023,DEER LAKES HS,Algebra I,All Students,11,109,9.2,26.6,50.5,13.8,35.8
2023,DEER LAKES HS,Algebra I,White (not Hispanic),11,106,9.4,26.4,51.9,12.3,35.8
2023,DEER LAKES HS,Algebra I,IEP,11,29,3.4,10.3,48.3,37.9,13.8
2023,DEER LAKES HS,Algebra I,Economically Disadvantaged,11,40,10,20,52.5,17.5,30
2023,DEER LAKES HS,Biology,All Students,11,143,9.8,30.8,35.7,23.8,40.6
2023,DEER LAKES HS,Biology,White (not Hispanic),11,138,9.4,31.9,35.5,23.2,41.3
2023,DEER LAKES HS,Biology,IEP,11,29,3.4,10.3,20.7,65.5,13.8
2023,DEER LAKES HS,Biology,Economically Disadvantaged,11,43,0,27.9,27.9,44.2,27.9
2023,DEER LAKES HS,Literature,All Students,11,144,16,56.3,20.1,7.6,72.2
2023,DEER LAKES HS,Literature,White (not Hispanic),11,139,15.8,57.6,19.4,7.2,73.4
2023,DEER LAKES HS,Literature,IEP,11,29,0,24.1,41.4,34.5,24.1
2023,DEER LAKES HS,Literature,Economically Disadvantaged,11,42,2.4,45.2,33.3,19,47.6
2023,EAST ALLEGHENY JSHS,Algebra I,All Students,11,95,2.1,9.5,40,48.4,11.6
2023,EAST ALLEGHENY JSHS,Algebra I,White (not Hispanic),11,55,3.6,14.5,47.3,34.5,18.2
2023,EAST ALLEGHENY JSHS,Algebra I,Black or African American (not Hispanic),11,33,0,3,33.3,63.6,3
2023,EAST ALLEGHENY JSHS,Algebra I,IEP,11,22,0,4.5,9.1,86.4,4.5
2023,EAST ALLEGHENY JSHS,Algebra I,Economically Disadvantaged,11,52,1.9,5.8,25,67.3,7.7
2023,EAST ALLEGHENY JSHS,Biology,All Students,11,103,3.9,18.4,30.1,47.6,22.3
2023,EAST ALLEGHENY JSHS,Biology,White (not Hispanic),11,61,4.9,26.2,32.8,36.1,31.1
2023,EAST ALLEGHENY JSHS,Biology,Black or African American (not Hispanic),11,35,2.9,8.6,28.6,60,11.4
2023,EAST ALLEGHENY JSHS,Biology,IEP,11,23,0,4.3,13,82.6,4.3
2023,EAST ALLEGHENY JSHS,Biology,Economically Disadvantaged,11,54,0,9.3,24.1,66.7,9.3
2023,EAST ALLEGHENY JSHS,Literature,All Students,11,103,1.9,36.9,28.2,33,38.8
2023,EAST ALLEGHENY JSHS,Literature,White (not Hispanic),11,62,3.2,46.8,27.4,22.6,50
2023,EAST ALLEGHENY JSHS,Literature,Black or African American (not Hispanic),11,35,0,20,31.4,48.6,20
2023,EAST ALLEGHENY JSHS,Literature,IEP,11,21,0,9.5,23.8,66.7,9.5
2023,EAST ALLEGHENY JSHS,Literature,Economically Disadvantaged,11,54,1.9,20.4,29.6,48.1,22.2
2023,ELIZABETH FORWARD SHS,Algebra I,All Students,11,80,1.3,33.8,52.5,12.5,35
2023,ELIZABETH FORWARD SHS,Algebra I,White (not Hispanic),11,69,1.4,34.8,53.6,10.1,36.2
2023,ELIZABETH FORWARD SHS,Algebra I,IEP,11,18,0,5.6,55.6,38.9,5.6
2023,ELIZABETH FORWARD SHS,Algebra I,Economically Disadvantaged,11,39,0,25.6,56.4,17.9,25.6
2023,ELIZABETH FORWARD SHS,Biology,All Students,11,163,11.7,46,30.7,11.7,57.7
2023,ELIZABETH FORWARD SHS,Biology,White (not Hispanic),11,147,10.9,46.9,32,10.2,57.8
2023,ELIZABETH FORWARD SHS,Biology,IEP,11,24,4.2,12.5,25,58.3,16.7
2023,ELIZABETH FORWARD SHS,Biology,Economically Disadvantaged,11,59,8.5,35.6,40.7,15.3,44.1
2023,ELIZABETH FORWARD SHS,Literature,All Students,11,161,5.6,68.9,14.9,10.6,74.5
2023,ELIZABETH FORWARD SHS,Literature,White (not Hispanic),11,145,5.5,70.3,13.8,10.3,75.9
2023,ELIZABETH FORWARD SHS,Literature,IEP,11,23,0,21.7,34.8,43.5,21.7
2023,ELIZABETH FORWARD SHS,Literature,Economically Disadvantaged,11,57,1.8,61.4,22.8,14,63.2
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Biology,All Students,11,32,6.3,31.3,37.5,25,37.5
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Biology,White (not Hispanic),11,12,16.7,58.3,16.7,8.3,75
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Biology,Black or African American (not Hispanic),11,14,0,14.3,42.9,42.9,14.3
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Biology,IEP,11,12,0,0,50,50,0
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Biology,Economically Disadvantaged,11,14,0,14.3,42.9,42.9,14.3
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Literature,All Students,11,32,0,53.1,34.4,12.5,53.1
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Literature,White (not Hispanic),11,12,0,91.7,8.3,0,91.7
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Literature,Black or African American (not Hispanic),11,14,0,14.3,64.3,21.4,14.3
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Literature,IEP,11,12,0,16.7,50,33.3,16.7
2023,ENVIRONMENTAL CHARTER SCHOOL AT FRICK PARK,Literature,Economically Disadvantaged,11,14,0,42.9,35.7,21.4,42.9
2023,FOX CHAPEL AREA HS,Algebra I,All Students,11,153,41.8,28.1,24.8,5.2,69.9
2023,FOX CHAPEL AREA HS,Algebra I,White (not Hispanic),11,120,41.7,28.3,24.2,5.8,70
2023,FOX CHAPEL AREA HS,Algebra I,Asian (not Hispanic),11,14,85.7,7.1,7.1,0,92.9
2023,FOX CHAPEL AREA HS,Algebra I,IEP,11,26,11.5,23.1,46.2,19.2,34.6
2023,FOX CHAPEL AREA HS,Algebra I,Economically Disadvantaged,11,35,14.3,37.1,40,8.6,51.4
2023,FOX CHAPEL AREA HS,Biology,All Students,11,266,52.6,30.5,14.7,2.3,83.1
2023,FOX CHAPEL AREA HS,Biology,White (not Hispanic),11,222,51.4,32.4,14,2.3,83.8
2023,FOX CHAPEL AREA HS,Biology,Asian (not Hispanic),11,20,80,15,5,0,95
2023,FOX CHAPEL AREA HS,Biology,IEP,11,29,6.9,31,44.8,17.2,37.9
2023,FOX CHAPEL AREA HS,Biology,Economically Disadvantaged,11,56,41.1,26.8,28.6,3.6,67.9
2023,FOX CHAPEL AREA HS,Literature,All Students,11,275,35.3,53.5,7.3,4,88.7
2023,FOX CHAPEL AREA HS,Literature,White (not Hispanic),11,228,37.3,52.2,6.1,4.4,89.5
2023,FOX CHAPEL AREA HS,Literature,Black or African American (not Hispanic),11,12,8.3,66.7,25,0,75
2023,FOX CHAPEL AREA HS,Literature,Asian (not Hispanic),11,20,45,55,0,0,100
2023,FOX CHAPEL AREA HS,Literature,IEP,11,29,6.9,34.5,31,27.6,41.4
2023,FOX CHAPEL AREA HS,Literature,Economically Disadvantaged,11,61,18,62.3,13.1,6.6,80.3
2023,GATEWAY SHS,Algebra I,All Students,11,202,11.4,30.2,40.1,18.3,41.6
2023,GATEWAY SHS,Algebra I,White (not Hispanic),11,103,16.5,41.7,27.2,14.6,58.3
2023,GATEWAY SHS,Algebra I,Black or African American (not Hispanic),11,62,3.2,17.7,50,29,21
2023,GATEWAY SHS,Algebra I,Asian (not Hispanic),11,11,18.2,27.3,45.5,9.1,45.5
2023,GATEWAY SHS,Algebra I,Multi-Racial (not Hispanic),11,16,6.3,6.3,68.8,18.8,12.5
2023,GATEWAY SHS,Algebra I,IEP,11,49,2,14.3,42.9,40.8,16.3
2023,GATEWAY SHS,Algebra I,Economically Disadvantaged,11,88,4.5,19.3,47.7,28.4,23.9
2023,GATEWAY SHS,Biology,All Students,11,217,14.7,37.8,31.8,15.7,52.5
