Year,School Name,Subject,Grade,Group,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2015,ALTOONA AREA HS,M,11,Historically Underperforming,283,9.89,45.94,34.28,9.89
2015,ALTOONA AREA HS,S,11,All Students,495,10.91,50.91,29.29,8.89
2015,ALTOONA AREA HS,S,11,Historically Underperforming,282,7.09,41.84,37.23,13.83
2015,AMBRIDGE AREA HS,E,11,All Students,191,6.28,67.02,19.37,7.33
2015,AMBRIDGE AREA HS,E,11,Historically Underperforming,94,4.26,58.51,26.6,10.64
2015,AMBRIDGE AREA HS,M,11,All Students,194,8.76,47.42,34.54,9.28
2015,AMBRIDGE AREA HS,M,11,Historically Underperforming,97,5.15,37.11,41.24,16.49
2015,AMBRIDGE AREA HS,S,11,All Students,192,14.58,40.63,27.6,17.19
2015,AMBRIDGE AREA HS,S,11,Historically Underperforming,94,8.51,31.91,32.98,26.6
2015,ANNVILLE CLEONA HS,E,11,All Students,120,10.0,78.33,7.5,4.17
2015,ANNVILLE CLEONA HS,E,11,Historically Underperforming,30,0.0,63.33,23.33,13.33
2015,ANNVILLE CLEONA HS,M,11,All Students,117,12.82,66.67,17.95,2.56
2015,ANNVILLE CLEONA HS,M,11,Historically Underperforming,28,3.57,39.29,46.43,10.71
2015,ANNVILLE CLEONA HS,S,11,All Students,120,17.5,47.5,21.67,13.33
2015,ANNVILLE CLEONA HS,S,11,Historically Underperforming,30,10.0,30.0,23.33,36.67
2015,ANTIETAM MIDDLE/SENIOR HS,E,11,All Students,59,0.0,49.15,40.68,10.17
2015,ANTIETAM MIDDLE/SENIOR HS,E,11,Historically Underperforming,29,0.0,48.28,31.03,20.69
2015,ANTIETAM MIDDLE/SENIOR HS,M,11,All Students,60,5.0,43.33,33.33,18.33
2015,ANTIETAM MIDDLE/SENIOR HS,M,11,Historically Underperforming,30,3.33,23.33,36.67,36.67
2015,ANTIETAM MIDDLE/SENIOR HS,S,11,All Students,60,1.67,36.67,35.0,26.67
2015,ANTIETAM MIDDLE/SENIOR HS,S,11,Historically Underperforming,30,0.0,30.0,30.0,40.0
2015,APOLLO-RIDGE HS,E,11,All Students,84,4.76,83.33,10.71,1.19
2015,APOLLO-RIDGE HS,E,11,Historically Underperforming,37,5.41,72.97,18.92,2.7
2015,APOLLO-RIDGE HS,M,11,All Students,83,8.43,74.7,15.66,1.2
2015,APOLLO-RIDGE HS,M,11,Historically Underperforming,37,13.51,62.16,24.32,0.0
2015,APOLLO-RIDGE HS,S,11,All Students,84,2.38,48.81,39.29,9.52
2015,APOLLO-RIDGE HS,S,11,Historically Underperforming,37,2.7,43.24,37.84,16.22
2015,ARCH AND DESIGN CHS,E,11,All Students,132,0.76,56.06,37.12,6.06
2015,ARCH AND DESIGN CHS,E,11,Historically Underperforming,97,0.0,46.39,45.36,8.25
2015,ARCH AND DESIGN CHS,M,11,All Students,133,3.76,33.08,47.37,15.79
2015,ARCH AND DESIGN CHS,M,11,Historically Underperforming,98,4.08,26.53,48.98,20.41
2015,ARCH AND DESIGN CHS,S,11,All Students,133,0.0,18.05,45.11,36.84
2015,ARCH AND DESIGN CHS,S,11,Historically Underperforming,98,0.0,15.31,44.9,39.8
2015,ARISE ACADEMY CHARTER HS,E,11,All Students,15,0.0,6.67,20.0,73.33
2015,ARISE ACADEMY CHARTER HS,E,11,Historically Underperforming,15,0.0,6.67,20.0,73.33
2015,ARISE ACADEMY CHARTER HS,M,11,All Students,15,0.0,0.0,26.67,73.33
2015,ARISE ACADEMY CHARTER HS,M,11,Historically Underperforming,15,0.0,0.0,26.67,73.33
2015,ARISE ACADEMY CHARTER HS,S,11,All Students,11,0.0,0.0,9.09,90.91
2015,ARISE ACADEMY CHARTER HS,S,11,Historically Underperforming,11,0.0,0.0,9.09,90.91
2015,FORD CITY JSHS,E,11,All Students,74,4.05,74.32,17.57,4.05
2015,FORD CITY JSHS,E,11,Historically Underperforming,26,3.85,53.85,30.77,11.54
2015,FORD CITY JSHS,M,11,All Students,74,8.11,71.62,16.22,4.05
2015,FORD CITY JSHS,M,11,Historically Underperforming,26,0.0,61.54,30.77,7.69
2015,FORD CITY JSHS,S,11,All Students,75,24.0,46.67,20.0,9.33
2015,FORD CITY JSHS,S,11,Historically Underperforming,27,18.52,33.33,29.63,18.52
2015,KITTANNING SHS,E,11,All Students,100,1.0,66.0,25.0,8.0
2015,KITTANNING SHS,E,11,Historically Underperforming,41,0.0,43.9,41.46,14.63
2015,KITTANNING SHS,M,11,All Students,100,3.0,63.0,27.0,7.0
2015,KITTANNING SHS,M,11,Historically Underperforming,41,2.44,43.9,36.59,17.07
2015,KITTANNING SHS,S,11,All Students,100,22.0,36.0,24.0,18.0
2015,KITTANNING SHS,S,11,Historically Underperforming,41,4.88,36.59,26.83,31.71
2015,WEST SHAMOKIN JSHS,E,11,All Students,64,3.13,79.69,15.63,1.56
2015,WEST SHAMOKIN JSHS,E,11,Historically Underperforming,23,0.0,52.17,43.48,4.35
2015,WEST SHAMOKIN JSHS,M,11,All Students,64,15.63,59.38,23.44,1.56
2015,WEST SHAMOKIN JSHS,M,11,Historically Underperforming,23,8.7,39.13,47.83,4.35
2015,WEST SHAMOKIN JSHS,S,11,All Students,64,14.06,60.94,17.19,7.81
2015,WEST SHAMOKIN JSHS,S,11,Historically Underperforming,23,4.35,52.17,21.74,21.74
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,E,11,All Students,17,0.0,17.65,41.18,41.18
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,E,11,Historically Underperforming,17,0.0,17.65,41.18,41.18
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,M,11,All Students,17,0.0,5.88,47.06,47.06
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,M,11,Historically Underperforming,17,0.0,5.88,47.06,47.06
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,S,11,All Students,15,0.0,13.33,6.67,80.0
2015,ASPIRA BILINGUAL CYBER CHARTER SCHOOL,S,11,Historically Underperforming,15,0.0,13.33,6.67,80.0
2015,ATHENS AREA HS,E,11,All Students,162,3.7,60.49,24.69,11.11
2015,ATHENS AREA HS,E,11,Historically Underperforming,59,1.69,35.59,35.59,27.12
2015,ATHENS AREA HS,M,11,All Students,159,11.95,44.65,26.42,16.98
2015,ATHENS AREA HS,M,11,Historically Underperforming,58,3.45,27.59,27.59,41.38
2015,ATHENS AREA HS,S,11,All Students,160,13.75,46.25,21.25,18.75
2015,ATHENS AREA HS,S,11,Historically Underperforming,58,1.72,31.03,25.86,41.38
2015,AUSTIN AREA JSHS,E,11,Historically Underperforming,0,,,,
2015,AUSTIN AREA JSHS,M,11,Historically Underperforming,0,,,,
2015,AUSTIN AREA JSHS,S,11,Historically Underperforming,0,,,,
2015,AVELLA AREA JSHS,E,11,All Students,43,0.0,79.07,13.95,6.98
2015,AVELLA AREA JSHS,E,11,Historically Underperforming,27,0.0,74.07,18.52,7.41
2015,AVELLA AREA JSHS,M,11,All Students,41,17.07,48.78,34.15,0.0
2015,AVELLA AREA JSHS,M,11,Historically Underperforming,25,12.0,48.0,40.0,0.0
2015,AVELLA AREA JSHS,S,11,All Students,43,13.95,62.79,18.6,4.65
2015,AVELLA AREA JSHS,S,11,Historically Underperforming,27,11.11,66.67,18.52,3.7
2015,AVON GROVE CS,E,11,All Students,65,12.31,38.46,43.08,6.15
2015,AVON GROVE CS,E,11,Historically Underperforming,21,0.0,14.29,66.67,19.05
2015,AVON GROVE CS,M,11,All Students,65,21.54,38.46,20.0,20.0
2015,AVON GROVE CS,M,11,Historically Underperforming,21,0.0,19.05,33.33,47.62
2015,AVON GROVE CS,S,11,All Students,67,8.96,43.28,32.84,14.93
2015,AVON GROVE CS,S,11,Historically Underperforming,23,0.0,17.39,43.48,39.13
2015,AVON GROVE HS,E,11,All Students,443,14.0,73.59,10.16,2.26
2015,AVON GROVE HS,E,11,Historically Underperforming,115,7.83,56.52,27.83,7.83
2015,AVON GROVE HS,M,11,All Students,444,26.35,55.18,15.32,3.15
2015,AVON GROVE HS,M,11,Historically Underperforming,116,11.21,44.83,31.9,12.07
2015,AVON GROVE HS,S,11,All Students,444,32.43,38.51,20.27,8.78
2015,AVON GROVE HS,S,11,Historically Underperforming,117,19.66,26.5,29.91,23.93
2015,AVONWORTH SHS,E,11,All Students,92,11.96,66.3,18.48,3.26
2015,AVONWORTH SHS,E,11,Historically Underperforming,26,7.69,50.0,30.77,11.54
2015,AVONWORTH SHS,M,11,All Students,58,6.9,31.03,53.45,8.62
2015,AVONWORTH SHS,M,11,Historically Underperforming,22,9.09,22.73,50.0,18.18
2015,AVONWORTH SHS,S,11,All Students,86,10.47,43.02,25.58,20.93
2015,AVONWORTH SHS,S,11,Historically Underperforming,22,4.55,22.73,31.82,40.91
2015,BALD EAGLE AREA JSHS,E,11,All Students,131,8.4,71.76,14.5,5.34
2015,BALD EAGLE AREA JSHS,E,11,Historically Underperforming,50,6.0,50.0,30.0,14.0
2015,BALD EAGLE AREA JSHS,M,11,All Students,129,4.65,68.22,19.38,7.75
2015,BALD EAGLE AREA JSHS,M,11,Historically Underperforming,50,2.0,48.0,30.0,20.0
2015,BALD EAGLE AREA JSHS,S,11,All Students,130,7.69,63.85,15.38,13.08
2015,BALD EAGLE AREA JSHS,S,11,Historically Underperforming,49,4.08,42.86,26.53,26.53
2015,BALDWIN SHS,E,11,All Students,325,6.46,72.92,15.08,5.54
2015,BALDWIN SHS,E,11,Historically Underperforming,110,0.91,56.36,28.18,14.55
2015,BALDWIN SHS,M,11,All Students,322,11.49,61.49,23.29,3.73
2015,BALDWIN SHS,M,11,Historically Underperforming,106,6.6,47.17,36.79,9.43
2015,BALDWIN SHS,S,11,All Students,324,15.74,44.14,29.94,10.19
2015,BALDWIN SHS,S,11,Historically Underperforming,108,7.41,31.48,36.11,25.0
2015,BANGOR AREA SHS,E,11,All Students,236,5.08,71.19,18.64,5.08
2015,BANGOR AREA SHS,E,11,Historically Underperforming,109,2.75,59.63,27.52,10.09
2015,BANGOR AREA SHS,M,11,All Students,235,14.04,48.94,32.34,4.68
2015,BANGOR AREA SHS,M,11,Historically Underperforming,108,6.48,37.96,45.37,10.19
2015,BANGOR AREA SHS,S,11,All Students,231,23.38,38.96,21.65,16.02
2015,BANGOR AREA SHS,S,11,Historically Underperforming,103,9.71,34.95,30.1,25.24
2015,BEAVER AREA ACADEMIC CS,E,11,All Students,22,0.0,90.91,9.09,0.0
2015,BEAVER AREA ACADEMIC CS,E,11,Historically Underperforming,12,0.0,83.33,16.67,0.0
2015,BEAVER AREA ACADEMIC CS,M,11,All Students,20,20.0,60.0,20.0,0.0
2015,BEAVER AREA ACADEMIC CS,M,11,Historically Underperforming,11,9.09,72.73,18.18,0.0
2015,BEAVER AREA ACADEMIC CS,S,11,All Students,20,10.0,60.0,30.0,0.0
2015,BEAVER AREA SHS,E,11,All Students,151,7.28,80.79,11.92,0.0
2015,BEAVER AREA SHS,E,11,Historically Underperforming,31,9.68,54.84,35.48,0.0
2015,BEAVER AREA SHS,M,11,All Students,150,48.0,39.33,12.67,0.0
2015,BEAVER AREA SHS,M,11,Historically Underperforming,30,30.0,36.67,33.33,0.0
2015,BEAVER AREA SHS,S,11,All Students,149,34.9,40.27,21.48,3.36
2015,BEAVER AREA SHS,S,11,Historically Underperforming,31,25.81,35.48,29.03,9.68
2015,BEAVER COUNTY AVTS,E,11,All Students,21,0.0,38.1,28.57,33.33
2015,BEAVER COUNTY AVTS,E,11,Historically Underperforming,13,0.0,30.77,30.77,38.46
2015,BEAVER COUNTY AVTS,M,11,All Students,19,0.0,26.32,42.11,31.58
2015,BEAVER COUNTY AVTS,M,11,Historically Underperforming,12,0.0,33.33,41.67,25.0
2015,BEAVER COUNTY AVTS,S,11,All Students,17,0.0,17.65,29.41,52.94
2015,BEDFORD SHS,E,11,All Students,158,14.56,72.78,11.39,1.27
2015,BEDFORD SHS,E,11,Historically Underperforming,57,3.51,68.42,24.56,3.51
2015,BEDFORD SHS,M,11,All Students,157,19.75,59.24,18.47,2.55
2015,BEDFORD SHS,M,11,Historically Underperforming,55,14.55,50.91,29.09,5.45
2015,BEDFORD SHS,S,11,All Students,158,33.54,46.84,14.56,5.06
2015,BEDFORD SHS,S,11,Historically Underperforming,57,22.81,40.35,28.07,8.77
2015,BELLE VERNON AREA HS,E,11,All Students,204,12.75,66.67,17.65,2.94
2015,BELLE VERNON AREA HS,E,11,Historically Underperforming,71,7.04,43.66,40.85,8.45
2015,BELLE VERNON AREA HS,M,11,All Students,205,12.2,60.0,21.46,6.34
2015,BELLE VERNON AREA HS,M,11,Historically Underperforming,71,5.63,39.44,36.62,18.31
2015,BELLE VERNON AREA HS,S,11,All Students,205,10.73,59.51,21.46,8.29
2015,BELLE VERNON AREA HS,S,11,Historically Underperforming,72,4.17,41.67,33.33,20.83
2015,BELLEFONTE AREA HS,E,11,All Students,177,10.73,66.1,19.77,3.39
2015,BELLEFONTE AREA HS,E,11,Historically Underperforming,51,3.92,45.1,39.22,11.76
2015,BELLEFONTE AREA HS,M,11,All Students,178,21.35,51.12,22.47,5.06
2015,BELLEFONTE AREA HS,M,11,Historically Underperforming,52,7.69,40.38,36.54,15.38
2015,BELLEFONTE AREA HS,S,11,All Students,177,15.82,46.33,29.38,8.47
2015,BELLEFONTE AREA HS,S,11,Historically Underperforming,52,5.77,28.85,40.38,25.0
2015,BELLWOOD ANTIS HS,E,11,All Students,83,6.02,80.72,10.84,2.41
2015,BELLWOOD ANTIS HS,E,11,Historically Underperforming,21,4.76,66.67,19.05,9.52
2015,BELLWOOD ANTIS HS,M,11,All Students,83,39.76,44.58,13.25,2.41
2015,BELLWOOD ANTIS HS,M,11,Historically Underperforming,21,19.05,52.38,19.05,9.52
2015,BELLWOOD ANTIS HS,S,11,All Students,83,28.92,48.19,18.07,4.82
2015,BELLWOOD ANTIS HS,S,11,Historically Underperforming,21,19.05,38.1,23.81,19.05
2015,BENSALEM TWP HS,E,11,All Students,435,6.9,66.21,20.23,6.67
2015,BENSALEM TWP HS,E,11,Historically Underperforming,201,1.99,52.24,32.84,12.94
2015,BENSALEM TWP HS,M,11,All Students,440,17.05,50.68,26.59,5.68
2015,BENSALEM TWP HS,M,11,Historically Underperforming,215,7.44,40.93,40.0,11.63
2015,BENSALEM TWP HS,S,11,All Students,450,23.56,41.33,19.78,15.33
2015,BENSALEM TWP HS,S,11,Historically Underperforming,221,12.22,33.94,26.24,27.6
2015,BENTON MIDDLE-SR HIGH SCHOOL,E,11,All Students,49,4.08,63.27,32.65,0.0
2015,BENTON MIDDLE-SR HIGH SCHOOL,E,11,Historically Underperforming,26,3.85,38.46,57.69,0.0
2015,BENTON MIDDLE-SR HIGH SCHOOL,M,11,All Students,49,14.29,46.94,34.69,4.08
2015,BENTON MIDDLE-SR HIGH SCHOOL,M,11,Historically Underperforming,26,7.69,26.92,57.69,7.69
2015,BENTON MIDDLE-SR HIGH SCHOOL,S,11,All Students,49,12.24,53.06,26.53,8.16
2015,BENTON MIDDLE-SR HIGH SCHOOL,S,11,Historically Underperforming,26,0.0,38.46,46.15,15.38
2015,BENTWORTH SHS,E,11,All Students,88,10.23,76.14,12.5,1.14
2015,BENTWORTH SHS,E,11,Historically Underperforming,29,10.34,58.62,27.59,3.45
2015,BENTWORTH SHS,M,11,All Students,88,28.41,54.55,12.5,4.55
2015,BENTWORTH SHS,M,11,Historically Underperforming,29,13.79,48.28,24.14,13.79
2015,BENTWORTH SHS,S,11,All Students,87,24.14,48.28,17.24,10.34
2015,BENTWORTH SHS,S,11,Historically Underperforming,29,13.79,31.03,27.59,27.59
2015,BERKS CTC - EAST CAMPUS,E,11,All Students,12,0.0,8.33,50.0,41.67
2015,BERKS CTC - EAST CAMPUS,M,11,All Students,12,0.0,16.67,41.67,41.67
2015,BERKS CTC - EAST CAMPUS,S,11,All Students,12,0.0,8.33,50.0,41.67
2015,BERLIN BROTHERSVALLE SHS,E,11,All Students,67,0.0,85.07,8.96,5.97
2015,BERLIN BROTHERSVALLE SHS,E,11,Historically Underperforming,27,0.0,62.96,22.22,14.81
2015,BERLIN BROTHERSVALLE SHS,M,11,All Students,68,5.88,50.0,27.94,16.18
2015,BERLIN BROTHERSVALLE SHS,M,11,Historically Underperforming,28,3.57,35.71,35.71,25.0
2015,BERLIN BROTHERSVALLE SHS,S,11,All Students,68,1.47,48.53,25.0,25.0
2015,BERLIN BROTHERSVALLE SHS,S,11,Historically Underperforming,28,0.0,42.86,21.43,35.71
2015,BERMUDIAN SPRINGS HS,E,11,All Students,154,3.9,73.38,16.88,5.84
2015,BERMUDIAN SPRINGS HS,E,11,Historically Underperforming,51,0.0,62.75,23.53,13.73
2015,BERMUDIAN SPRINGS HS,M,11,All Students,152,14.47,58.55,17.11,9.87
2015,BERMUDIAN SPRINGS HS,M,11,Historically Underperforming,51,9.8,43.14,29.41,17.65
2015,BERMUDIAN SPRINGS HS,S,11,All Students,154,9.74,46.1,31.17,12.99
2015,BERMUDIAN SPRINGS HS,S,11,Historically Underperforming,51,5.88,35.29,25.49,33.33
2015,BERWICK AREA HS,E,11,All Students,170,5.88,68.24,20.0,5.88
2015,BERWICK AREA HS,E,11,Historically Underperforming,85,3.53,51.76,34.12,10.59
2015,BERWICK AREA HS,M,11,All Students,169,18.34,52.07,24.85,4.73
2015,BERWICK AREA HS,M,11,Historically Underperforming,84,4.76,46.43,39.29,9.52
2015,BERWICK AREA HS,S,11,All Students,169,32.54,31.95,13.02,22.49
2015,BERWICK AREA HS,S,11,Historically Underperforming,84,16.67,23.81,20.24,39.29
2015,BETHEL PARK SHS,E,11,All Students,350,15.71,67.43,11.43,5.43
2015,BETHEL PARK SHS,E,11,Historically Underperforming,95,6.32,51.58,26.32,15.79
2015,BETHEL PARK SHS,M,11,All Students,349,15.76,59.6,19.48,5.16
2015,BETHEL PARK SHS,M,11,Historically Underperforming,96,6.25,35.42,41.67,16.67
2015,BETHEL PARK SHS,S,11,All Students,347,32.56,40.35,18.73,8.36
2015,BETHEL PARK SHS,S,11,Historically Underperforming,96,14.58,33.33,30.21,21.88
2015,FREEDOM HS,E,11,All Students,436,6.19,51.38,31.65,10.78
2015,FREEDOM HS,E,11,Historically Underperforming,199,3.02,28.14,47.74,21.11
2015,FREEDOM HS,M,11,All Students,439,6.61,25.51,50.57,17.31
2015,FREEDOM HS,M,11,Historically Underperforming,200,2.5,15.5,51.0,31.0
2015,FREEDOM HS,S,11,All Students,439,15.03,30.98,25.97,28.02
2015,FREEDOM HS,S,11,Historically Underperforming,200,4.5,20.0,27.5,48.0
2015,LIBERTY HS,E,11,All Students,595,6.39,45.55,35.29,12.77
2015,LIBERTY HS,E,11,Historically Underperforming,325,1.85,32.31,44.62,21.23
2015,LIBERTY HS,M,11,All Students,600,7.17,21.17,49.0,22.67
2015,LIBERTY HS,M,11,Historically Underperforming,330,3.94,13.94,50.0,32.12
2015,LIBERTY HS,S,11,All Students,602,10.3,25.91,31.4,32.39
2015,LIBERTY HS,S,11,Historically Underperforming,332,3.92,15.36,32.53,48.19
2015,BETHLEHEM AVTS,E,11,All Students,13,0.0,23.08,53.85,23.08
2015,BETHLEHEM AVTS,E,11,Historically Underperforming,12,0.0,25.0,50.0,25.0
2015,BETHLEHEM AVTS,M,11,All Students,14,0.0,7.14,42.86,50.0
2015,BETHLEHEM AVTS,M,11,Historically Underperforming,13,0.0,7.69,46.15,46.15
2015,BETHLEHEM AVTS,S,11,All Students,14,0.0,7.14,28.57,64.29
2015,BETHLEHEM AVTS,S,11,Historically Underperforming,13,0.0,7.69,30.77,61.54
2015,BETHLEHEM-CENTER SHS,E,11,All Students,81,14.81,67.9,16.05,1.23
2015,BETHLEHEM-CENTER SHS,E,11,Historically Underperforming,40,7.5,65.0,25.0,2.5
2015,BETHLEHEM-CENTER SHS,M,11,All Students,82,1.22,67.07,29.27,2.44
2015,BETHLEHEM-CENTER SHS,M,11,Historically Underperforming,40,0.0,52.5,42.5,5.0
2015,BETHLEHEM-CENTER SHS,S,11,All Students,79,13.92,40.51,26.58,18.99
2015,BETHLEHEM-CENTER SHS,S,11,Historically Underperforming,39,5.13,38.46,28.21,28.21
