district_name,name,address_city,address_street,county,zip,telephone_number,website,elementary,middle,high
,Arts Academy Elementary CS,Allentown,601 W Union Street,Carbon-Lehigh IU 21,18101,610-841-4560,https://www.artsacademyecs.org,TRUE,FALSE,FALSE
Bethlehem Area SD,Asa Packer El Sch,Bethlehem,1650 Kenwood Dr,Colonial IU 20,18017,610-865-0660,http://www.basdschools.org,TRUE,FALSE,FALSE
Millcreek Township SD,Asbury El Sch,Fairview,5875 Sterrettania Rd,Northwest Tri-County IU 5,16415,814-836-6100,http://www.mtsd.org/main/index.html,TRUE,FALSE,FALSE
,ASPIRA Bilingual Cyber CS,Philadelphia,6301 N. 2nd Street,Philadelphia IU 26,19120,267-297-1883,https://www.abccs.org/,TRUE,TRUE,TRUE
Penn-Delco SD,Aston El Sch,Aston,900 Tryens Rd,Delaware County IU 25,19014,610-497-6300,http://www.pdsd.org,TRUE,FALSE,FALSE
Athens Area SD,Athens Area HS,Athens,401 West Frederick Street,BLaST IU 17,18810,570-888-7766,http://www.athensasd.k12.pa.us/,FALSE,FALSE,TRUE
Athens Area SD,Audrielle Lynch-Ellen Bustin El Sch,Athens,50 Wildcat Way,BLaST IU 17,18810,570-888-7766,http://www.athensasd.k12.pa.us/,TRUE,FALSE,FALSE
Austin Area SD,Austin Area El Sch,Austin,138 Costello Avenue,Seneca Highlands IU 9,16720,814-647-8603,http://www.austinsd.net/,TRUE,TRUE,FALSE
Austin Area SD,Austin Area JSHS,Austin,138 Costello Avenue,Seneca Highlands IU 9,16720,814-647-8603,http://www.austinsd.net/,FALSE,TRUE,TRUE
Northgate SD,Avalon El Sch,Pittsburgh,721 California Ave,Allegheny IU 3,15202,412-732-3300,http://www.northgatesd.net,TRUE,TRUE,FALSE
Avella Area SD,Avella Area JSHS,Avella,1000 Avella Rd,Intermediate Unit 1,15312,724-356-2218,http://www.avellasd.org,FALSE,TRUE,TRUE
Avella Area SD,Avella El Center,Avella,1000 Avella Rd,Intermediate Unit 1,15312,724-356-2218,http://www.avellasd.org,TRUE,TRUE,FALSE
Jersey Shore Area SD,Avis El Sch,Jersey Shore,1088 Third St,BLaST IU 17,17740,570-753-5220,http://www.jsasd.org,TRUE,FALSE,FALSE
,Avon Grove CS,West Grove,110 East State St,Chester County IU 24,19390,484-667-5000,http://www.agcharter.org,TRUE,TRUE,TRUE
Avon Grove SD,Avon Grove HS,West Grove,10 Waltman Way,Chester County IU 24,19390,610-869-2446,http://www.avongrove.org,FALSE,FALSE,TRUE
Avon Grove SD,Avon Grove Intrmd Sch,West Grove,395 S. Jennersville Road,Chester County IU 24,19390,610-869-2010,http://www.avongrove.org,TRUE,FALSE,FALSE
Avon Grove SD,Avon Grove MS,West Grove,257 State Rd,Chester County IU 24,19390,610-869-3022,http://www.avongrove.org,FALSE,TRUE,FALSE
Wilson Area SD,Avona El Sch,Easton,2317 Front Street,Colonial IU 20,18042,484-373-6250,http://www.wilsonareasd.org,TRUE,FALSE,FALSE
Avonworth SD,Avonworth El Sch,Pittsburgh,1320 Roosevelt Rd,Allegheny IU 3,15237,412-366-7170,http://www.avonworth.k12.pa.us,TRUE,TRUE,FALSE
Avonworth SD,Avonworth HS,Pittsburgh,304 Josephs Lane,Allegheny IU 3,15237,412-366-6360,http://www.avonworth.k12.pa.us,FALSE,FALSE,TRUE
Avonworth SD,Avonworth MS,Pittsburgh,256 Josephs Lane,Allegheny IU 3,15237,412-366-9650,http://www.avonworth.k12.pa.us,FALSE,TRUE,FALSE
Avonworth SD,Avonworth Primary Center,Pittsburgh,1310 Roosevelt Road,Allegheny IU 3,15237,412-366-7171,http://www.avonworth.k12.pa.us,TRUE,FALSE,FALSE
Stroudsburg Area SD,B F Morey El Sch,Stroudsburg,1044 W Main St,Colonial IU 20,18360,570-421-6371,http://www.sburg.org,TRUE,FALSE,FALSE
Philadelphia City SD,Bache-Martin Sch,Philadelphia,2201 Brown St,Philadelphia IU 26,19130,215-400-7550,http://www.philasd.org,TRUE,TRUE,FALSE
,Baden Academy CS,Baden,1016 State Street,Beaver Valley IU 27,15005,855-590-2227,http://www.badenacademy.org,TRUE,TRUE,FALSE
Greater Latrobe SD,Baggaley El Sch,Latrobe,4080 Route 982,Westmoreland IU 7,15650,724-539-4531,http://glsd.us/site/default.aspx?PageID=1,TRUE,TRUE,FALSE
Elizabethtown Area SD,Bainbridge El Sch,Bainbridge,416 N. Second Street,Lancaster-Lebanon IU 13,17502,717-426-4203,http://www.etownschools.org,TRUE,FALSE,FALSE
Upper Saint Clair SD,Baker El Sch,Pittsburgh,2300 Morton Rd,Allegheny IU 3,15241,412-833-1600,http://www.uscsd.k12.pa.us,TRUE,FALSE,FALSE
Altoona Area SD,Baker El Sch,Altoona,108 W Ward Ave,Appalachia IU 8,16602,814-946-8388,http://www.aasdcat.com/aasd,TRUE,FALSE,FALSE
Lower Merion SD,Bala-Cynwyd MS,Bala Cynwyd,510 Bryn Mawr Ave,Montgomery County IU 23,19004,610-645-1480,http://www.lmsd.org,TRUE,TRUE,FALSE
Bald Eagle Area SD,Bald Eagle Area JSHS,Wingate,710 S Eagle Valley Rd,Central IU 10,16823,814-355-4868,http://www.beasd.org,FALSE,TRUE,TRUE
Philadelphia City SD,Baldi C C A MS,Philadelphia,8801 Verree Rd,Philadelphia IU 26,19115,215-400-3090,http://www.philasd.org,FALSE,TRUE,FALSE
Baldwin-Whitehall SD,Baldwin SHS,Pittsburgh,4653 Clairton Blvd,Allegheny IU 3,15236,412-885-7500,http://www.bwschools.net,FALSE,TRUE,TRUE
Kennett Consolidated SD,Bancroft El Sch,Kennett Square,181 Bancroft Road,Chester County IU 24,19348,610-925-5711,http://www.kcsd.org,TRUE,FALSE,FALSE
Bangor Area SD,Bangor Area HS,Bangor,187 Five Points Richmond Rd,Colonial IU 20,18013,610-599-7011,http://www.bangor.k12.pa.us/,FALSE,FALSE,TRUE
Bangor Area SD,Bangor Area MS,Bangor,401 Five Points Richmond Rd,Colonial IU 20,18013,610-599-7012,http://www.bangor.k12.pa.us/,FALSE,TRUE,FALSE
Central Bucks SD,Barclay El Sch,Warrington,2015 Palomino Dr,Bucks County IU 22,18976,267-893-4100,http://www.cbsd.org,TRUE,TRUE,FALSE
South Western SD,Baresville El Sch,Hanover,135 Sanford Ave,Lincoln IU 12,17331,717-633-4870,http://www.swsd.k12.pa.us,TRUE,FALSE,FALSE
Phoenixville Area SD,Barkley El Sch,Phoenixville,320 Second Ave,Chester County IU 24,19460,484-927-5300,http://www.pasd.com,TRUE,FALSE,FALSE
Manheim Central SD,Baron EL Sch,Manheim,123 E Gramby St,Lancaster-Lebanon IU 13,17545,717-665-8900,http://www.manheimcentral.org,TRUE,FALSE,FALSE
Steel Valley SD,Barrett El Sch,Homestead,221 E 12th Ave,Allegheny IU 3,15120,412-464-3600,http://www.Steelvalleysd.org,TRUE,FALSE,FALSE
Philadelphia City SD,Barry Comm John Sch,Philadelphia,5900 Race St.,Philadelphia IU 26,19132,215-400-7640,http://www.philasd.org,TRUE,TRUE,FALSE
Solanco SD,Bart-Colerain El Sch,Christiana,1336 Noble Rd,Lancaster-Lebanon IU 13,17509,717-529-2181,http://www.solancosd.org/,TRUE,FALSE,FALSE
Pottstown SD,Barth El Sch,Pottstown,467 W Walnut St,Montgomery County IU 23,19464,610-970-6675,http://www.pottstownschools.com,TRUE,FALSE,FALSE
Philadelphia City SD,Barton Clara Sch,Philadelphia,4600 Rosehill St,Philadelphia IU 26,19120,215-400-3720,http://www.philasd.org,TRUE,FALSE,FALSE
Philadelphia City SD,Bartram John - Main,Philadelphia,2401 S 67th St,Philadelphia IU 26,19142,215-400-8100,http://www.philasd.org,FALSE,FALSE,TRUE
,Bear Creek Community CS,Bear Creek Township,30 Charter School Way,Luzerne IU 18,18702,570-820-4070,http://www.bearcreekschool.com,TRUE,TRUE,FALSE
Elizabethtown Area SD,Bear Creek School,Elizabethtown,1459 Sheaffer Road,Lancaster-Lebanon IU 13,17022,717-367-0210,http://www.etownschools.org,TRUE,FALSE,FALSE
Warren County SD,Beaty-Warren MS,Warren,2 East Third Ave,Northwest Tri-County IU 5,16365,814-723-5200,http://www.wcsdpa.org,TRUE,TRUE,FALSE
Tredyffrin-Easttown SD,Beaumont El Sch,Devon,575 Beaumont Rd,Chester County IU 24,19333,610-240-1400,http://www.tesd.net,TRUE,FALSE,FALSE
Beaver Area SD,Beaver Area MS,Beaver,Gypsy Glen Rd,Beaver Valley IU 27,15009,724-774-0253,http://www.basd.k12.pa.us,FALSE,TRUE,FALSE
Beaver Area SD,Beaver Area SHS,Beaver,Gypsy Glen Rd,Beaver Valley IU 27,15009,724-774-0251,http://www.basd.k12.pa.us,FALSE,FALSE,TRUE
,Beaver County CTC,Monaca,145 Poplar Avenue,Beaver Valley IU 27,15061,724-728-5800,http://www.bcctc.org,FALSE,FALSE,TRUE
Downingtown Area SD,Beaver Creek El Sch,Downingtown,601 W Pennsylvania Ave,Chester County IU 24,19335,610-269-2790,http://www.dasd.org,TRUE,FALSE,FALSE
Big Beaver Falls Area SD,Beaver Falls Area SHS,Beaver Falls,1701 8th Ave,Beaver Valley IU 27,15010,724-843-7470,http://www.tigerweb.org/,FALSE,FALSE,TRUE
Big Beaver Falls Area SD,Beaver Falls MS,Beaver Falls,1601 8th Ave,Beaver Valley IU 27,15010,724-846-5470,http://www.tigerweb.org/,FALSE,TRUE,FALSE
Bloomsburg Area SD,Beaver-Main El Sch,Bloomsburg,245 Beaver Valley Road,Central Susquehanna IU 16,17815,570-784-0309,http://bloomsburgasd.schoolwires.com/site/default.aspx?PageID=1,TRUE,FALSE,FALSE
,Bedford County Technical Center,Everett,195 Pennknoll Road,Appalachia IU 8,15537,814-623-2760,http://www.bedfordctc.org,FALSE,FALSE,TRUE
Bedford Area SD,Bedford El Sch,Bedford,3639 Business Route 220,Appalachia IU 8,15522,814-623-4221,http://www.bedfordasd.org,TRUE,FALSE,FALSE
Bedford Area SD,Bedford MS,Bedford,440 E Watson St,Appalachia IU 8,15522,814-623-4200,http://www.bedfordasd.org,FALSE,TRUE,FALSE
Bedford Area SD,Bedford SHS,Bedford,330 E John St,Appalachia IU 8,15522,814-623-4250,http://www.bedfordasd.org,FALSE,FALSE,TRUE
Pennridge SD,Bedminster El Sch,Perkasie,2914 Fretz Valley Road,Bucks County IU 22,18944,215-795-2929,http://www.pennridge.org/psd/psd.htm,TRUE,FALSE,FALSE
William Penn SD,Bell Avenue School,Yeadon,1000 Bell Ave,Delaware County IU 25,19050,610-284-6100,http://www.wpsd.k12.pa.us,TRUE,TRUE,FALSE
Carlisle Area SD,Bellaire El Sch,Carlisle,905 Waggoner's Gap Rd,Capital Area IU 15,17013,717-240-6800,http://www.carlisleschools.org,TRUE,FALSE,FALSE
Millcreek Township SD,Belle Valley El Sch,Erie,5300 Henderson Rd,Northwest Tri-County IU 5,16509,814-835-5600,http://www.mtsd.org/main/index.html,TRUE,FALSE,FALSE
Belle Vernon Area SD,Belle Vernon Area HS,Belle Vernon,425 Crest Ave,Westmoreland IU 7,15012,724-808-2500,http://www.bellevernonarea.net/bvasd/site/default.asp,FALSE,FALSE,TRUE
Belle Vernon Area SD,Belle Vernon Area MS,Belle Vernon,500 Perry Ave,Westmoreland IU 7,15012,724-808-2500,http://www.bellevernonarea.net/bvasd/site/default.asp,FALSE,TRUE,FALSE
Bellefonte Area SD,Bellefonte Area HS,Bellefonte,830 E Bishop St,Central IU 10,16823,814-355-4833,http://www.basd.net,FALSE,FALSE,TRUE
Bellefonte Area SD,Bellefonte Area MS,Bellefonte,100 N School St,Central IU 10,16823,814-355-5466,http://www.basd.net,FALSE,TRUE,FALSE
Bellefonte Area SD,Bellefonte El Sch,Bellefonte,100 W Linn St,Central IU 10,16823,814-355-5519,http://www.basd.net,TRUE,FALSE,FALSE
Northgate SD,Bellevue El Sch,Pittsburgh,435 Lincoln Ave,Allegheny IU 3,15202,412-732-3300,http://www.northgatesd.net,TRUE,TRUE,FALSE
Bellwood-Antis SD,Bellwood Antis MS,Bellwood,400 Martin Street,Appalachia IU 8,16617,814-742-2273,https://www.blwd.k12.pa.us,TRUE,TRUE,FALSE
Bellwood-Antis SD,Bellwood-Antis HS,Bellwood,400 Martin Street,Appalachia IU 8,16617,814-742-2274,https://www.blwd.k12.pa.us,FALSE,FALSE,TRUE
,Belmont CS,Philadelphia,4030 Brown Street,Philadelphia IU 26,19104,215-823-8208,http://www.cea-philly.org,TRUE,TRUE,TRUE
Bensalem Township SD,Belmont Hills El Sch,Bensalem,5000 Neshaminy Blvd,Bucks County IU 22,19020,215-750-2800,http://www.bensalemsd.org,TRUE,TRUE,FALSE
Lower Merion SD,Belmont Hills El Sch,Bala Cynwyd,200 School Street,Montgomery County IU 23,19004,610-645-1420,http://www.lmsd.org,TRUE,FALSE,FALSE
Indiana Area SD,Ben Franklin El Sch,Indiana,95 Ben Franklin Rd,ARIN IU 28,15701,724-465-5637,https://www.iasd.cc/,TRUE,FALSE,FALSE
Uniontown Area SD,Ben Franklin Sch,Uniontown,351 Morgantown St,Intermediate Unit 1,15401,724-439-5020,http://www.uasdraiders.org,TRUE,TRUE,FALSE
Chambersburg Area SD,Benjamin Chambers El Sch,Chambersburg,481 North Franklin St,Lincoln IU 12,17201,717-261-3442,http://www.casdonline.org,TRUE,FALSE,FALSE
Bethel Park SD,Benjamin Franklin El Sch,Bethel Park,5400 Florida Ave,Allegheny IU 3,15102,412-854-8741,http://www.bpsd.org/,TRUE,FALSE,FALSE
Bristol Township SD,Benjamin Franklin MS,Levittown,6401 Mill Creek Rd,Bucks County IU 22,19057,215-788-0436,http://www.btsd.us/,FALSE,TRUE,FALSE
Harrisburg City SD,Benjamin Franklin Sch,Harrisburg,1205 N 6th Street,Capital Area IU 15,17110,717-703-1200,http://www.hbgsd.k12.pa.us,TRUE,FALSE,FALSE
Bensalem Township SD,Benjamin Rush El Sch,Bensalem,3400 Hulmeville Rd,Bucks County IU 22,19020,215-750-2800,http://www.bensalemsd.org,TRUE,TRUE,FALSE
Bellefonte Area SD,Benner El Sch,Bellefonte,490 Buffalo Run Rd,Central IU 10,16823,814-355-2812,http://www.basd.net,TRUE,FALSE,FALSE
Bensalem Township SD,Bensalem Twp HS,Bensalem,4319 Hulmeville Rd,Bucks County IU 22,19020,215-750-2800,http://www.bensalemsd.org,FALSE,FALSE,TRUE
Benton Area SD,Benton Area HS,Benton,400 Park St,Central Susquehanna IU 16,17814,570-925-6651,http://www.bentonsd.k12.pa.us,FALSE,FALSE,TRUE
Benton Area SD,Benton Area MS,Benton,400 Park St,Central Susquehanna IU 16,17814,570-925-2651,http://www.bentonsd.k12.pa.us,FALSE,TRUE,FALSE
Bentworth SD,Bentworth El Ctr,Bentleyville,100 Bearcat Dr,Intermediate Unit 1,15314,724-239-3606,http://www.bentworth.org,TRUE,FALSE,FALSE
Bentworth SD,Bentworth MS,BENTLEYVILLE,563 LINCOLN AVENUE,Intermediate Unit 1,15314,724-239-4431,http://www.bentworth.org,TRUE,TRUE,FALSE
Bentworth SD,Bentworth SHS,Bentleyville,75 Bearcat Dr,Intermediate Unit 1,15314,724-239-5911,http://www.bentworth.org,FALSE,FALSE,TRUE
New Kensington-Arnold SD,Berkey Sch,Arnold,1739 Victoria Ave,Westmoreland IU 7,15068,724-335-1713,http://www.nkasd.com,TRUE,FALSE,FALSE
,Berks CTC-East Campus,Oley,3307 Friedensburg Road,Berks County IU 14,19547,610-374-4073,http://www.berkscareer.com,FALSE,FALSE,TRUE
,Berks CTC-West Campus,Leesport,1057 County Welfare Road,Berks County IU 14,19533,610-374-4073,http://www.berkscareer.com,FALSE,FALSE,TRUE
Berlin Brothersvalley SD,Berlin Brothersvalley El Sch,Berlin,1025 E Main Street,Appalachia IU 8,15530,814-267-4623,http://www.bbsd.com,TRUE,FALSE,FALSE
Berlin Brothersvalley SD,Berlin Brothersvalley MS,Berlin,1025 E Main Street,Appalachia IU 8,15530,814-267-6931,http://www.bbsd.com,TRUE,TRUE,FALSE
Berlin Brothersvalley SD,Berlin Brothersvalley SHS,Berlin,1025 E Main Street,Appalachia IU 8,15530,814-267-4622,http://www.bbsd.com,FALSE,FALSE,TRUE
Bermudian Springs SD,Bermudian Springs El Sch,York Springs,7335 Carlisle Pike,Lincoln IU 12,17372,717-528-4113,http://www.bermudian.org,TRUE,FALSE,FALSE
